排序,原候选编号,小分子药物名称,新靶点名称,当前实验建议,pair_id,原冻结药内排名_384,A药内靶点排名_384,A靶点内药物排名_720,A固定名额重选保留,A三个种子保留次数,B药内靶点排名_384,B靶点内药物排名_720,B固定名额重选保留,B三个种子保留次数,AB共同保留,AB至少一个保留
1,C384-001,tecovirimat,AR — Androgen receptor,仍可探索,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,1,13,127,False,0,120,348,False,0,False,False
2,C384-040,piperacillin,CA1 — Carbonic anhydrase 1,仍可探索,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261,1,19,175,False,0,22,71,False,2,False,False
3,C384-089,tamsulosin,CA4 — Carbonic anhydrase 4,仍可探索,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,1,53,313,False,0,64,240,False,0,False,False
4,C384-156,morphine,CA7 — Carbonic anhydrase 7,仍可探索,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326,1,8,184,False,1,69,535,False,0,False,False
5,C384-074,sotalol,NR3C2 — Mineralocorticoid receptor,仍可探索,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994,1,100,609,False,0,28,506,False,0,False,False
6,C384-194,labetalol,MME — Neprilysin,仍可探索,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944,1,132,319,False,1,188,371,False,1,False,False
7,C384-283,arformoterol,CTSC — Dipeptidyl peptidase 1,仍可探索,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252,1,185,460,False,1,68,258,True,3,False,True
8,C384-285,relebactam,MMP7 — Matrilysin,仍可探索,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073,1,116,331,False,0,147,144,False,1,False,False
9,C384-007,vismodegib,NTRK1 — High affinity nerve growth factor receptor,仍可探索,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,2,376,552,False,0,81,220,False,0,False,False
10,C384-093,metoprolol,CA4 — Carbonic anhydrase 4,仍可探索,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729,2,62,615,False,0,12,566,False,0,False,False
11,C384-094,solifenacin,CA7 — Carbonic anhydrase 7,仍可探索,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,2,5,10,True,3,111,113,True,1,True,True
12,C384-128,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,2,255,577,False,0,125,227,False,1,False,False
13,C384-157,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,2,3,139,False,1,20,590,False,0,False,False
14,C384-158,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,2,23,70,True,1,23,116,False,0,False,True
15,C384-196,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,2,294,660,False,0,186,356,False,0,False,False
16,C384-197,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,2,7,406,False,0,24,571,False,0,False,False
17,C384-287,diltiazem,REN — Renin,仍可探索,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,2,242,369,False,0,81,332,False,0,False,False
18,C384-303,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,2,139,292,False,0,200,71,True,2,False,True
19,C384-003,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,3,3,179,False,0,87,360,False,0,False,False
20,C384-121,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,3,69,152,False,0,67,434,False,0,False,False
