target_chembl_id,gene_symbol,target_compute_class_zh,assay_lane,historical_experimental_evidence,computed_pocket_evidence,evidence_compute_route,wetlab_priority,wetlab_primary_orthogonal_assay_zh,wetlab_control_design_zh,authorization_scope
CHEMBL3238,CPT2,非激酶酶,ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL5141,CYP26A1,非激酶酶,ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2243,FAAH,非激酶酶,ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1250375,NOX4,非激酶酶,ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL3145,PIK3CB,非激酶酶,ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1938222,PIKFYVE,非激酶酶,ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL3023,SPHK2,非激酶酶,ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1835,TBXAS1,非激酶酶,ENZYME_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL1973,TYR,非激酶酶,ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2063,UGCG,非激酶酶,ENZYME_BIOCHEMICAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL2046267,ANO1,离子通道,ION_CHANNEL_FUNCTIONAL,H2_ADEQUATE_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,自动膜片钳多电压/多状态剂量反应 + 离子通量或位点突变复核,参考阻断剂/激动剂、未表达细胞、载体、电生理质量控制,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
CHEMBL4816,AKT3,激酶,KINASE_BIOCHEMICAL,H1_RICH_POSITIVE_NEGATIVE,P1_P2RANK_FPOCKET_SAME_SITE,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,激酶生化活性/结合剂量反应 + NanoBRET或细胞磷酸化正交复核,参考抑制剂、无活性类似物、载体、近缘激酶选择性面板,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE
