drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
aclidinium,RESPIRATORY,COPD维持治疗；不据此扩展急性救援,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f92cceb-a63f-4470-99b6-56179d98f10f,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
alpelisib,ONCOLOGY;MUSCULOSKELETAL_CONNECTIVE;DERMATOLOGIC;CARDIOVASCULAR,特定PIK3CA突变HR阳性HER2阴性乳癌联合治疗；另有需系统治疗的严重PROS过度生长谱,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b20b4e18-7a4b-4500-a08f-06c6dab0ee5b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=638069a4-aee0-46c9-9e21-54ad449c163c;https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/215039Orig1s000MultidisciplineR.pdf,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。PROS没有独立先天发育宏类，依原始监管描述保守映射骨/软组织、皮肤、血管；不是这些领域任意疾病获批。
amantadine,INFECTION;NEURO_PSYCHIATRIC,历史标签甲流预防/治疗；帕金森综合征及药源性锥体外系症状,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5119801d-a5cb-4adf-96b2-08cc3a0ba594;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=547904f3-84a3-1ccb-e063-6294a90a6fb6;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=da693bb0-0cc8-485d-89a7-c8cf28d440f3;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6326d7f5-4c7c-4541-8db1-c582f1525f60,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。流感保留注册历史，未作当代流感用药推荐。
anastrozole,ONCOLOGY,绝经后特定激素受体状态乳癌辅助、一线及进展后治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d1d5818-1594-4f54-90a9-ae9a9afcdc67;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54da5c12-cfaf-7a14-e063-6394a90a3635;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=58390d1f-7390-a21f-e063-6294a90a0479;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aabd8f88-2b52-4d43-8dc6-61605988c4dc,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
apomorphine,NEURO_PSYCHIATRIC,晚期帕金森病运动波动和off发作,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f3552b6e-5ae7-4993-aa1a-e399c4a7080a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aedf70e4-1949-44bc-bf1b-0f282c4f0705,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
arformoterol,RESPIRATORY,COPD支气管收缩长期维持；标签明确不用于哮喘或急性恶化,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bb1a6643-f280-4f02-a824-0428a2b82d3c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1005878-0c48-4b9a-843e-b6cf6b8bb251;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e9eb1ac7-57aa-4ef8-aac3-14def5b883d0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2feda53-54b9-4e40-8a01-9e7b45cb3d8c,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
articaine,NEURO_PSYCHIATRIC,含肾上腺素制剂用于牙科局部浸润/传导麻醉,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4bba4ab-2b20-43e6-92ea-9ec6f1fce754,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。复方牙科局麻，神经宏类仅代表麻醉症状干预，非神经变性治疗。
atrasentan,RENAL_URINARY;IMMUNE_INFLAMMATORY,高进展风险原发IgA肾病降低蛋白尿；未证实减缓肾功能下降,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9a7e7f85-bfd0-44a0-beda-3bcfa8215c64,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
baclofen,NEURO_PSYCHIATRIC,MS或脊髓疾病相关痉挛症状；不把风湿性肌痉挛和未获证实的卒中用途计入,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e2cd27d-91c7-4f15-96cc-3971769dbeaa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c2e1d183-7061-459b-a631-206b06d12753;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeb56b0e-7126-4417-b726-e8a54f73de3f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c17527be-661d-42f5-b6f6-56a681ba7870,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
bazedoxifene,ENDOCRINE_METABOLIC_REPRODUCTIVE;MUSCULOSKELETAL_CONNECTIVE,美国结合雌激素复方治疗绝经血管舒缩症状/预防骨质疏松；欧盟单药治疗绝经后骨质疏松,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e16705d8-4472-4f83-96ac-69fa2be066cb;https://www.ema.europa.eu/en/medicines/human/EPAR/conbriza,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。抓取误标single-drug，实际DUAVEE为复方；另查欧盟单药。
benoxinate,EYE_ENT,与荧光素复方用于需要示踪及局部眼麻醉的眼科操作,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1797c5ef-66c4-4cf8-b62d-b484242be2ee,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。复方示踪/麻醉，不作眼病治疗。
binimetinib,ONCOLOGY,BRAF特定突变黑色素瘤和NSCLC联合encorafenib治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6c3408ac-d401-4925-8a03-26591afbc240,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
brivaracetam,NEURO_PSYCHIATRIC,局灶起始癫痫发作,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3cf2f439-0e97-443e-8e33-25ecef616f6c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=11ca0e1d-1c0d-4357-9ebd-ee1e87185dde;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=57cfb2c3-395d-0892-e063-6294a90a1064;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49f726ec-e51b-7516-e063-6294a90ae684,已逐药阅读所抓indications；抓取上限/制剂/地区差异使本表不是完整全球获批历史。疾病领域是人工保守归类；不含副作用及明确不适用项。
