candidate_id,pair_id,modeled_entity_name,drug_names,gene_symbol,target_chembl_id,recommendation_band,evidence_utility_unvalidated,within_target_review_order,execution_condition,proposed_stage
C384-001,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871,tecovirimat,tecovirimat,AR,CHEMBL1871,PRIORITY_CROSS_AREA_MECHANISM_REVIEW,12.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FIRST_MECHANISM_SCOUT_AFTER_QC
C384-002,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4898,tedizolid,tedizolid,NTRK2,CHEMBL4898,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,10.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-003,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,carglumic acid,carglumic acid,MMP12,CHEMBL4393,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,10.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-004,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,apixaban,apixaban,FLT3,CHEMBL1974,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,10.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-005,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL1957,ranolazine,ranolazine,IGF1R,CHEMBL1957,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,10.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-006,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,pregabalin,pregabalin,MME,CHEMBL1944,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,10.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-007,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815,vismodegib,vismodegib,NTRK1,CHEMBL2815,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-008,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,lubiprostone,lubiprostone,AR,CHEMBL1871,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-009,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,alpelisib,alpelisib,DPP4,CHEMBL284,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-010,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,lasmiditan,lasmiditan,FLT3,CHEMBL1974,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-011,MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate,choline fenofibrate;fenofibrate,CYP19A1,CHEMBL1978,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-012,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,cabotegravir,PPARG,CHEMBL235,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-013,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,pitavastatin,MMP12,CHEMBL4393,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-014,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,lasmiditan,NTRK2,CHEMBL4898,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-015,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,mesalamine,balsalazide;mesalamine,XDH,CHEMBL1929,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-016,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,sotalol,CYP26A1,CHEMBL5141,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-017,XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,ozenoxacin,TYK2,CHEMBL3553,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-018,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,terazosin,PIK3CA,CHEMBL4005,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-019,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,dasabuvir,AR,CHEMBL1871,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-020,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,etonogestrel,CYP19A1,CHEMBL1978,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-021,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4409,tedizolid,tedizolid,PDE10A,CHEMBL4409,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-022,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL5608,tedizolid,tedizolid,NTRK3,CHEMBL5608,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-023,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,tapinarof,tapinarof,ESR1,CHEMBL206,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-024,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,givinostat,givinostat,FLT1,CHEMBL1868,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-025,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,ozanimod,ozanimod,JAK2,CHEMBL2971,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,9.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-026,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,zavegepant,zavegepant,INSR,CHEMBL1981,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.75,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-027,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,cabotegravir,cabotegravir,ALDH2,CHEMBL1935,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-028,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,nimodipine,nimodipine,F7,CHEMBL3991,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.5,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-029,QTGIAADRBBLJGA-UHFFFAOYSA-N__CHEMBL1929,articaine,articaine,XDH,CHEMBL1929,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.5,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-030,UPNUIXSCZBYVBB-JVFUWBCBSA-N__CHEMBL5705,alvimopan,alvimopan,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-031,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,atrasentan,atrasentan,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,2,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-032,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,desonide,desonide,NR3C2,CHEMBL1994,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-033,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,pregabalin,pregabalin,ACE,CHEMBL1808,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-034,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,etravirine,etravirine,SRC,CHEMBL267,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-035,VTRAEEWXHOVJFV-UHFFFAOYSA-N__CHEMBL5705,olmesartan,olmesartan,EGLN3,CHEMBL5705,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,3,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
C384-036,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL1824,atrasentan,atrasentan,ERBB2,CHEMBL1824,ADDITIONAL_SOURCE_OR_CHEMICAL_SUPPORT,8.0,1,"Qualified matching reference, construct/activity, compound identity/solubility and buffer stability required before interpretation.",FOLLOW_UP_AFTER_TARGET_QC
