drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
3-iodobenzylguanidine,,来源为 AZEDRA iobenguane I-131：≥12岁、扫描阳性且不可切除局晚/转移 PPGL 需全身抗癌治疗；但当前模型未标 I-131，同位素治疗适应证不能直接移植,UNRESOLVED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209607Orig1s002lbl.pdf,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 UNRESOLVED；本地 registry 模型 N=C(N)NCc1cccc(I)c1 / PDWUPXJEEYOOTR-UHFFFAOYSA-N；FDA precise ingredient 为 IOBENGUANE I-131。来源肿瘤背景已知，当前未标同位素实体的获批用途未确认。
afatinib,ONCOLOGY,EGFR非耐药突变转移NSCLC一线；铂类后进展转移鳞状NSCLC；耐药EGFR突变疗效未确立,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ec5b9e00-3eab-4dbd-9bb3-75865b1af485;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
alprazolam,NEURO_PSYCHIATRIC,成人GAD急性治疗及伴/不伴广场恐惧的惊恐障碍；剂型和疗程证据限制依标签,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=563e09db-2f3d-4ce8-b356-ae44477be6d0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0cf8b567-201b-44fa-8fd3-c74023aff44f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aaab422d-c763-4352-8ffc-5aafdf91e8dd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ff1630b4-2044-433c-96bc-0bb4ae8d42a0,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
amisulpride,GASTROINTESTINAL;NEURO_PSYCHIATRIC,美国 BARHEMSYS 静脉用：成人术后恶心呕吐预防/治疗（预防失败者限不同类止吐药）；法国 ANSM Solian 口服：精神分裂症治疗,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144|https://m.base-donnees-publique.medicaments.gouv.fr/rcp-60019927-5,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 新增法国国家授权说明书，不称 EMA 集中批准；精神分裂症与美国止吐属于不同给药/剂量场景。法国该剂型禁用于<15岁。
apalutamide,ONCOLOGY,转移去势敏感及非转移去势抵抗前列腺癌,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
apremilast,IMMUNE_INFLAMMATORY;MUSCULOSKELETAL_CONNECTIVE;DERMATOLOGIC,活动性银屑病关节炎、符合光疗/系统治疗条件的斑块银屑病、Behçet相关口腔溃疡；成人及部分≥6岁儿童、20/50kg剂型门槛不同,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6b1f516-4972-4d82-bced-113e47b41cc5,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
aripiprazole;aripiprazole lauroxil,NEURO_PSYCHIATRIC,模型实体 aripiprazole：精神分裂症；双相 I 躁狂/混合发作单药及锂/丙戊酸辅助；成人 MDD 辅助；自闭症相关易激惹；Tourette 障碍；年龄及剂型条件依各项标签,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bf3cf835-4c4e-47cb-be9c-bcb7c2e11cbe,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 全结构键核定模型是 aripiprazole，不是 aripiprazole lauroxil；后者长效前药适应证不合并到模型。这里审核口服 aripiprazole，非穷尽全部注射制剂历史。
asenapine,NEURO_PSYCHIATRIC,成人精神分裂症；双相I躁狂/混合发作单药、成人锂/丙戊酸辅助及成人维持；儿科10–17岁适用范围依剂型,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3512687b-d1c7-45c4-8822-3a2ad53575a5;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=16e1cc9f-7699-49ea-b179-acb65e162304;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5429f134-839f-4ffc-9944-55f51238def8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=685eaf44-5944-4f38-afba-0a4fc0b3462b,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
avanafil,ENDOCRINE_METABOLIC_REPRODUCTIVE;RENAL_URINARY,成人男性勃起功能障碍,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d04e17d-7399-430a-a8bb-fa1912b155e9,仅审核本次抓取的美国标签适应证片段；不是完整历史/全球获批登记。摘要保留主要用途，详细年龄、剂型、基因、既往治疗及联合/排除条件以输入原文为准；未将不良反应或机制当适应证。
balsalazide;mesalamine,IMMUNE_INFLAMMATORY;GASTROINTESTINAL,模型实体 mesalamine：口服缓释/肠溶制剂用于成人轻中度 UC 诱导及维持缓解，所核片剂儿童≥24kg；栓剂用于成人轻中度活动性溃疡性直肠炎,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=875d573f-99a1-426a-8321-4d511690d503|https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=06792d20-d7e9-4b66-a4cb-cd0cf1a2db25,逐项核对所列官方标签/监管原文；EXTERNAL_REVIEWED 表示完成该来源审核，不代表穷尽全球/历史批准或核实当前商业供应。未把副作用、机制或禁忌证当适应证。 全结构键核定模型是 mesalamine，不是 balsalazide 前药；不同口服/直肠制剂的年龄、剂量、诱导/维持条件不能互换。
