target_chembl_id,gene_symbol,target_name,uniprot_accession,target_class_l1,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,structure_evidence_route,structure_ready_permissive,structure_ready_strict,p2rank_tier,eligible_drugs,pair_count__CURRENT_DEFAULT_BORDA_ONLY_TOP10,pair_count__DTIAM_ONLY_TOP10,pair_count__FOUR_SCORE_LOW_BACKGROUND,pair_count__FULL_FIT_EXPLORATORY_ONLY_TOP10,pair_count__INTERMEDIATE,pair_count__S5_ANCHORED_DTIAM_CONSENSUS_TOP10,pair_count__S5_ANCHORED_ONLY_TOP10,assay_available,assay_provider_or_internal_platform,assay_format_and_endpoint,protein_or_service_catalogue,reference_positive_control,orthogonal_binding_method,estimated_setup_cost,estimated_per_plate_cost,lead_time,lab_priority,lab_decision,lab_notes
CHEMBL1075126,PKLR,Pyruvate kinase PKLR,P30613,Enzyme,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,15,10,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,2,0,56,5,652,0,5,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1250375,NOX4,NADPH oxidase 4,Q9NPH5,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,2,2,1,16,690,0,9,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1744525,NAMPT,Nicotinamide phosphoribosyltransferase,P43490,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,2126,65,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,1,6,10,7,684,3,9,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1781,TOP1,DNA topoisomerase 1,P11387,Enzyme,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,13,881,SEQUENCE_PRIMARY_WEAK_OR_NO_POCKET,False,False,C_WEAK_REVIEW,720,0,0,644,2,72,0,2,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1782,FDPS,Farnesyl pyrophosphate synthase,P14324,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,122,79,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,3,6,9,3,692,0,7,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1801,PLG,Plasminogen,P00747,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,176,166,OPTIONAL_PERMISSIVE_POCKET_CONTEXT,True,False,B_MODERATE_CONFIDENCE,720,1,0,310,0,406,0,3,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1806,TOP2A,DNA topoisomerase 2-alpha,P11388,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,26,863,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,0,0,549,0,170,0,1,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1808,ACE,Angiotensin-converting enzyme,P12821,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,110,84,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,3,0,161,2,532,2,20,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1822,IMPDH1,Inosine-5'-monophosphate dehydrogenase 1,P20839,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,79,33,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,8,0,58,1,650,1,2,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1827,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,911,1011,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,1,3,101,0,605,1,9,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1835,TBXAS1,Thromboxane-A synthase,P24557,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,58,849,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,0,0,379,3,328,0,10,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1856,SRD5A2,3-oxo-5-alpha-steroid 4-dehydrogenase 2,P31213,Enzyme,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,147,44,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,15,16,0,2,615,27,45,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1873,PLAT,Tissue-type plasminogen activator,P00750,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,489,83,SEQUENCE_PRIMARY_WEAK_OR_NO_POCKET,False,False,C_WEAK_REVIEW,720,1,2,243,0,471,0,3,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1900,AKR1B1,Aldo-keto reductase family 1 member B1,P15121,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,253,102,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,2,2,16,3,684,0,13,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1902,FKBP1A,Peptidyl-prolyl cis-trans isomerase FKBP1A,P62942,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,261,61,OPTIONAL_PERMISSIVE_POCKET_CONTEXT,True,False,B_MODERATE_CONFIDENCE,720,2,17,27,0,649,2,23,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1908,CYP11B1,"Cytochrome P450 11B1, mitochondrial",P15538,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,670,58,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,6,7,19,3,660,10,15,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1914,BCHE,Cholinesterase,P06276,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1599,965,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,0,0,45,9,651,0,15,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1927,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",Q16881,Enzyme,ENZYME_BIOCHEMICAL,T3_MINIMUM_POSITIVE_NEGATIVE,10,20,SEQUENCE_ONLY_EXACT_STRUCTURE_PENDING,False,False,NOT_RUN,720,0,0,162,0,558,0,0,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1929,XDH,Xanthine dehydrogenase/oxidase,P47989,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,369,148,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,2,6,21,9,667,1,14,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1935,ALDH2,"Aldehyde dehydrogenase, mitochondrial",P05091,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,69,70,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,0,0,34,14,665,0,7,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
CHEMBL1938222,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase,Q9Y2I7,Enzyme,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,74,111,OPTIONAL_STRICT_POCKET_CONTEXT,True,True,A_HIGH_CONFIDENCE,720,0,0,138,11,568,0,3,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT,REQUIRES_LAB_INPUT
