increment_incremental_queue_rank,pairId,drug_names,gene_symbol,target_chembl_id,unified_target_route,increment_novelty_lane,increment_max_tanimoto_to_target_measured_positive,increment_gnina_increment_required,increment_boltz_increment_required,increment_gnina_gnina_remote_evidence_tier,increment_gnina_gnina_remote_support,increment_boltz_boltz_evidence_tier,increment_boltz_boltzAffinityProbabilityBinary,increment_boltz_boltzLigandIptm,increment_multiseed_boltz_support_count_3seed,increment_multiseed_pose_max_centroid_distance_A,increment_multiseed_pose_min_interface_jaccard,increment_multiseed_multiseed_final_decision,increment_ensemble_alternate_states_run,increment_ensemble_alternate_qualified_states,increment_ensemble_alternate_support_states,increment_ensemble_receptor_ensemble_decision,incremental_compute_completed,completed_in_all_remote_qualified_models_v5,final_pair_evidence_layer_v5,final_pair_evidence_layer_zh_v5,pair_next_action_v5
1.0,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL5903,palbociclib,ACVR1,CHEMBL5903,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.3095238095238095,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.1982706934213638,0.9845360517501832,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
2.0,BCFGMOOMADDAQU-UHFFFAOYSA-N__CHEMBL2041,lapatinib,RET,CHEMBL2041,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.3103448275862069,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.4626497626304626,0.9433634877204896,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
3.0,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL3905,ribociclib,LYN,CHEMBL3905,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.3191489361702128,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.3667919635772705,0.9681684374809264,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
4.0,QADPYRIHXKWUSV-UHFFFAOYSA-N__CHEMBL2041,infigratinib,RET,CHEMBL2041,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.3369565217391304,False,True,,,BOLTZ_STRUCTURE_A,0.90437912940979,0.972212255001068,3.0,0.1726646866030375,0.8846153846153846,PASS_SCORE_AND_CONDITIONAL_POSE_STABILITY,,,,,True,True,L2_BOLTZ_REPRODUCED,Boltz多seed和条件pose稳定,CORRELATED_MODEL_SUPPORT_ONLY; STRUCTURAL_AUDIT_BEFORE_MD_OR_EXPERIMENT
5.0,RHXHGRAEPCAFML-UHFFFAOYSA-N__CHEMBL3234,ribociclib,HCK,CHEMBL3234,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.26,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.3733152151107788,0.9748585224151612,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
6.0,DUYJMQONPNNFPI-UHFFFAOYSA-N__CHEMBL1974,osimertinib,FLT3,CHEMBL1974,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N2_SCAFFOLD_HOP,0.4343434343434343,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.4141977727413177,0.9700030088424684,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
7.0,MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL205,bumetanide,CA2,CHEMBL205,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N2_SCAFFOLD_HOP,0.4242424242424242,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.9399312734603882,0.9659900665283204,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
8.0,LXMSZDCAJNLERA-ZHYRCANASA-N__CHEMBL206,spironolactone,ESR1,CHEMBL206,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.2638888888888889,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.805101215839386,0.945533573627472,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
9.0,KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL279,imatinib,KDR,CHEMBL279,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N2_SCAFFOLD_HOP,0.4318181818181818,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.7675334215164185,0.9856964349746704,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
10.0,NHHQJBCNYHBUSI-UHFFFAOYSA-N__CHEMBL2971,fostamatinib,JAK2,CHEMBL2971,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N3_REMOTE,0.382716049382716,False,True,,,BOLTZ_STRUCTURE_C,0.9206315875053406,0.986041247844696,3.0,0.1893753961104829,0.88,PASS_SCORE_AND_CONDITIONAL_POSE_STABILITY,,,,,True,True,L2_BOLTZ_REPRODUCED,Boltz多seed和条件pose稳定,CORRELATED_MODEL_SUPPORT_ONLY; STRUCTURAL_AUDIT_BEFORE_MD_OR_EXPERIMENT
11.0,AHJRHEGDXFFMBM-UHFFFAOYSA-N__CHEMBL308,palbociclib,CDK1,CHEMBL308,E2_SINGLE_MODEL_REMOTE_QUALIFIED,N2_SCAFFOLD_HOP,0.56,False,True,,,BOLTZ_BELOW_TARGET_BACKGROUND,0.6646660566329956,0.975326657295227,,,,,,,,,True,True,L4_HOLD_NOT_REPRODUCED_OR_UNQUALIFIED,增量物理计算未支持或未跨受体状态复现,NO_AUTOMATIC_DEEPENING; NEW_STRUCTURE_OR_EXPERIMENT_REQUIRED
