step,head,query,candidates
0,0,267,384
1,1,79,720
2,0,83,384
3,1,362,720
4,0,173,384
5,1,278,720
6,0,52,384
7,1,140,720
8,0,595,384
9,1,255,720
10,0,500,384
11,1,172,720
12,0,248,384
13,1,207,720
14,0,298,384
15,1,47,720
16,0,612,384
17,1,165,720
18,0,73,384
19,1,350,720
20,0,515,384
21,1,187,720
22,0,262,384
23,1,144,720
24,0,591,384
25,1,64,720
26,0,481,384
27,1,141,720
28,0,416,384
29,1,74,720
30,0,352,384
31,1,159,720
32,0,487,384
33,1,206,720
34,0,270,384
35,1,166,720
36,0,571,384
37,1,151,720
38,0,192,384
39,1,90,720
40,0,38,384
41,1,333,720
42,0,557,384
43,1,112,720
44,0,680,384
45,1,229,720
46,0,335,384
47,1,325,720
48,0,606,384
49,1,120,720
50,0,581,384
51,1,175,720
52,0,604,384
53,1,173,720
54,0,304,384
55,1,196,720
56,0,70,384
57,1,366,720
58,0,312,384
59,1,128,720
60,0,485,384
61,1,96,720
62,0,553,384
63,1,136,720
64,0,59,384
65,1,302,720
66,0,698,384
67,1,25,720
68,0,327,384
69,1,127,720
70,0,273,384
71,1,93,720
72,0,405,384
73,1,361,720
74,0,670,384
75,1,72,720
76,0,339,384
77,1,164,720
78,0,533,384
79,1,294,720
80,0,526,384
81,1,224,720
82,0,332,384
83,1,357,720
84,0,484,384
85,1,51,720
86,0,715,384
87,1,319,720
88,0,211,384
89,1,37,720
90,0,677,384
91,1,376,720
92,0,227,384
93,1,280,720
94,0,287,384
95,1,41,720
96,0,506,384
97,1,305,720
98,0,199,384
99,1,24,720
100,0,365,384
101,1,218,720
102,0,549,384
103,1,114,720
104,0,467,384
105,1,27,720
106,0,569,384
107,1,193,720
108,0,294,384
109,1,300,720
110,0,480,384
111,1,176,720
112,0,254,384
113,1,91,720
114,0,494,384
115,1,368,720
116,0,534,384
117,1,265,720
118,0,315,384
119,1,111,720
120,0,471,384
121,1,167,720
122,0,516,384
123,1,370,720
124,0,291,384
125,1,191,720
126,0,546,384
127,1,217,720
128,0,220,384
129,1,59,720
130,0,401,384
131,1,102,720
132,0,538,384
133,1,233,720
134,0,560,384
135,1,108,720
136,0,63,384
137,1,153,720
138,0,107,384
139,1,345,720
140,0,434,384
141,1,132,720
142,0,31,384
143,1,152,720
144,0,394,384
145,1,359,720
146,0,601,384
147,1,26,720
148,0,193,384
149,1,308,720
150,0,219,384
151,1,232,720
152,0,411,384
153,1,106,720
154,0,147,384
155,1,38,720
156,0,84,384
157,1,374,720
158,0,87,384
159,1,30,720
160,0,371,384
161,1,180,720
162,0,19,384
163,1,251,720
164,0,618,384
165,1,270,720
166,0,309,384
167,1,241,720
168,0,34,384
169,1,301,720
170,0,572,384
171,1,346,720
172,0,694,384
173,1,274,720
174,0,2,384
175,1,192,720
176,0,478,384
177,1,40,720
178,0,465,384
179,1,201,720
180,0,121,384
181,1,171,720
182,0,0,384
183,1,236,720
184,0,79,384
185,1,304,720
186,0,627,384
187,1,259,720
188,0,115,384
189,1,198,720
190,0,185,384
191,1,267,720
192,0,88,384
193,1,288,720
194,0,113,384
195,1,215,720
196,0,645,384
197,1,203,720
198,0,306,384
199,1,283,720
200,0,252,384
201,1,369,720
202,0,181,384
203,1,100,720
204,0,497,384
205,1,287,720
206,0,600,384
207,1,311,720
208,0,701,384
209,1,22,720
210,0,461,384
211,1,351,720
212,0,321,384
213,1,337,720
214,0,8,384
215,1,67,720
216,0,65,384
217,1,209,720
218,0,167,384
219,1,226,720
220,0,519,384
221,1,78,720
222,0,297,384
223,1,109,720
224,0,687,384
225,1,80,720
226,0,168,384
227,1,250,720
228,0,662,384
229,1,257,720
230,0,574,384
231,1,363,720
232,0,131,384
233,1,82,720
234,0,166,384
235,1,170,720
236,0,583,384
237,1,107,720
238,0,490,384
239,1,330,720
240,0,383,384
241,1,281,720
242,0,10,384
243,1,318,720
244,0,663,384
245,1,52,720
246,0,360,384
247,1,168,720
248,0,462,384
249,1,89,720
250,0,476,384
251,1,150,720
252,0,229,384
253,1,312,720
254,0,350,384
255,1,372,720
256,0,563,384
257,1,32,720
258,0,626,384
259,1,130,720
260,0,364,384
261,1,122,720
262,0,247,384
263,1,98,720
264,0,334,384
265,1,125,720
266,0,118,384
267,1,231,720
268,0,673,384
269,1,355,720
270,0,464,384
271,1,35,720
272,0,511,384
273,1,237,720
274,0,223,384
275,1,323,720
276,0,207,384
277,1,184,720
278,0,5,384
279,1,299,720
280,0,143,384
281,1,343,720
282,0,355,384
283,1,137,720
284,0,452,384
285,1,71,720
286,0,246,384
287,1,97,720
288,0,61,384
289,1,200,720
290,0,718,384
291,1,169,720
292,0,4,384
293,1,134,720
294,0,179,384
295,1,2,720
296,0,540,384
297,1,197,720
298,0,622,384
299,1,202,720
300,0,336,384
301,1,199,720
302,0,684,384
303,1,56,720
304,0,277,384
305,1,367,720
306,0,414,384
307,1,124,720
308,0,363,384
309,1,219,720
310,0,9,384
311,1,61,720
312,0,389,384
313,1,182,720
314,0,171,384
315,1,101,720
316,0,502,384
317,1,285,720
318,0,41,384
319,1,126,720
320,0,212,384
321,1,349,720
322,0,103,384
323,1,163,720
324,0,162,384
325,1,378,720
326,0,409,384
327,1,133,720
328,0,433,384
329,1,174,720
330,0,426,384
331,1,290,720
332,0,395,384
