review_id,drug_name,target_gene,direction,direction_zh,concrete_disease_1,concrete_disease_2,concrete_disease_3,concrete_disease_4,concrete_disease_5,concrete_disease_evidence_level,concrete_disease_confidence,creeds_specific_diseases_used,target_prior_diseases_used,recommended_disease_model_zh,missing_for_final_disease_call_zh,assay_lane,primary_assay_zh,counterscreen_zh,conplex_score,open_targets_parent_score,txgnn_broad_direction_score,creeds_total_signature_count,literature_status,novelty_interpretation_zh,major_risks_zh
strict895_0001,Difluprednate,KRAS,dermatology,皮肤,melanoma,KRAS突变NSCLC,胰腺癌,结直肠癌,银屑病/特应性皮炎/角化异常待定,A_CREEDS_and_target_prior,高,melanoma,KRAS突变NSCLC; 胰腺癌; 结直肠癌,角质形成细胞、成纤维细胞、免疫刺激皮肤模型,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,enzyme_or_epigenetic_biochemical,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,0.35577512,0.917165318387881,0.9730347990989684,1,not_audited_in_local_literature_table,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0002,Doravirine,AR,oncology,肿瘤,serous cystadenocarcinoma,breast cancer,prostate cancer,gastrointestinal stromal tumor,前列腺癌,A_CREEDS_and_target_prior,高,serous cystadenocarcinoma; breast cancer; prostate cancer; gastrointestinal stromal tumor,前列腺癌; AR阳性乳腺癌; 雄激素相关皮肤/生殖疾病,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,nuclear_receptor_or_tf_reporter,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,0.52607393,0.8907381973099375,0.9405941367149352,5,unreported_in_local_pubmed_audit,本地/在线 PubMed 共现层面较干净，适合 novelty review,gene symbol/缩写可能产生文献或检索歧义；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响
strict895_0003,Doravirine And Islatravir,AR,oncology,肿瘤,serous cystadenocarcinoma,breast cancer,prostate cancer,gastrointestinal stromal tumor,前列腺癌,A_CREEDS_and_target_prior,高,serous cystadenocarcinoma; breast cancer; prostate cancer; gastrointestinal stromal tumor,前列腺癌; AR阳性乳腺癌; 雄激素相关皮肤/生殖疾病,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,nuclear_receptor_or_tf_reporter,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,0.52607393,0.8907381973099375,0.9405941367149352,5,unreported_in_local_pubmed_audit,本地/在线 PubMed 共现层面较干净，适合 novelty review,gene symbol/缩写可能产生文献或检索歧义；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响
strict895_0004,Ombitasvir,IDH2,oncology,肿瘤,colon cancer,breast cancer,retinoblastoma,multiple myeloma,thymic carcinoma,B_CREEDS_specific,中高,colon cancer; breast cancer; retinoblastoma; multiple myeloma; thymic carcinoma,,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,enzyme_or_epigenetic_biochemical,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,0.32210785,0.8373069697246522,0.8805067539215088,11,not_audited_in_local_literature_table,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0005,Doravirine,KRAS,oncology,肿瘤,melanoma,colon cancer,testicular cancer,KRAS突变NSCLC,胰腺癌,A_CREEDS_and_target_prior,高,melanoma; colon cancer; testicular cancer,KRAS突变NSCLC; 胰腺癌; 结直肠癌,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,enzyme_or_epigenetic_biochemical,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,0.421641,0.9264404220656652,0.9405941367149352,3,not_audited_in_local_literature_table,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0006,Doravirine And Islatravir,KRAS,oncology,肿瘤,melanoma,colon cancer,testicular cancer,KRAS突变NSCLC,胰腺癌,A_CREEDS_and_target_prior,高,melanoma; colon cancer; testicular cancer,KRAS突变NSCLC; 胰腺癌; 结直肠癌,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,enzyme_or_epigenetic_biochemical,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,0.421641,0.9264404220656652,0.9405941367149352,3,not_audited_in_local_literature_table,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0007,Emtricitabine,CDK4,oncology,肿瘤,breast adenocarcinoma,esophagus adenocarcinoma,colorectal adenocarcinoma,colon cancer,breast cancer,A_CREEDS_and_target_prior,高,breast adenocarcinoma; esophagus adenocarcinoma; colorectal adenocarcinoma; colon cancer; breast cancer,HR阳性乳腺癌; 脂肪肉瘤; 套细胞淋巴瘤,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,kinase_biochemical_cellular,优先 kinase biochemical IC50/Kd 或 ADP-Glo/迁移率法；细胞层面用 phospho-substrate/target engagement 验证,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛,0.5462819,0.8402650853064281,0.6275039911270142,34,unreported_in_local_pubmed_audit,本地/在线 PubMed 共现层面较干净，适合 novelty review,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0008,Rilpivirine Hydrochloride,CDK4,oncology,肿瘤,breast adenocarcinoma,esophagus adenocarcinoma,colorectal adenocarcinoma,colon cancer,breast cancer,A_CREEDS_and_target_prior,高,breast adenocarcinoma; esophagus adenocarcinoma; colorectal adenocarcinoma; colon cancer; breast cancer,HR阳性乳腺癌; 脂肪肉瘤; 套细胞淋巴瘤,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,kinase_biochemical_cellular,优先 kinase biochemical IC50/Kd 或 ADP-Glo/迁移率法；细胞层面用 phospho-substrate/target engagement 验证,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛,0.36350212,0.8402650853064281,0.7467787861824036,34,not_audited_in_local_literature_table,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化
strict895_0009,Doravirine,ESR1,oncology,肿瘤,breast cancer,cervix carcinoma,ER阳性乳腺癌,子宫内膜癌,骨质疏松/绝经相关疾病,A_CREEDS_and_target_prior,高,breast cancer; cervix carcinoma,ER阳性乳腺癌; 子宫内膜癌; 骨质疏松/绝经相关疾病,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,nuclear_receptor_or_tf_reporter,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,0.53315145,0.8729726899119736,0.9405941367149352,3,unreported_in_local_pubmed_audit,本地/在线 PubMed 共现层面较干净，适合 novelty review,reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响
strict895_0010,Doravirine And Islatravir,ESR1,oncology,肿瘤,breast cancer,cervix carcinoma,ER阳性乳腺癌,子宫内膜癌,骨质疏松/绝经相关疾病,A_CREEDS_and_target_prior,高,breast cancer; cervix carcinoma,ER阳性乳腺癌; 子宫内膜癌; 骨质疏松/绝经相关疾病,按候选病种选择肿瘤细胞系；优先加入正常细胞/非靶点依赖细胞反筛,缺少具体疾病 OpenTargets child disease association；缺少疾病模型/细胞系依赖性证据；缺少该 drug-target 的直接 target-engagement 实验证据,nuclear_receptor_or_tf_reporter,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,0.53315145,0.8729726899119736,0.9405941367149352,3,unreported_in_local_pubmed_audit,本地/在线 PubMed 共现层面较干净，适合 novelty review,reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响
