model,task_weight_origin,checkpoint_scope,training_provenance_status,pair_exposure_audit,source,native_input_contract,output_contract,comparison_limit,participation_status
ConPLex,OFFICIAL_TASK_WEIGHT,已登记BindingDB任务检查点,作者提供BindingDB模型；具体权重成员逐对核验待做,UNKNOWN,https://github.com/samsledje/ConPLex,SMILES、序列、作者编码/前处理,余弦相似度,并列秩和检查点版本必须保留,OFFICIAL_TASK_WEIGHTS_REGISTERED
DrugCLIP,OFFICIAL_TASK_WEIGHT,已登记六折组合,检查点训练关系、口袋及复合物重叠待做,UNKNOWN,https://github.com/THU-ATOM/Drug-The-Whole-Genome,分子3D构象和目标口袋；无标签选口袋,检索相似度,口袋/构象准备成本及聚合策略单列,OFFICIAL_TASK_WEIGHTS_REGISTERED
Nesso-1,OFFICIAL_TASK_WEIGHT,已登记官方权重及配置,检查点监督成员及时间边界待做,UNKNOWN,https://github.com/recursionpharma/nesso/blob/main/docs/prediction.md,蛋白序列及分子构象；作者置信告警记录,binder主列；log10(IC50/uM)另列,不把连续头当Kd/Ki；告警保留原始结果及覆盖,OFFICIAL_TASK_WEIGHTS_REGISTERED
ProbeMatchDTI,OFFICIAL_TASK_WEIGHT,All_Model,仓库说明All合并四来源；处理后成员未随仓库发布，不能据此确认检查点完整训练集,UNKNOWN,https://github.com/developer-hq/ProbeMatchDTI,原始模型输入和fused分数；不混入Agent文献重排,DTI分类,检查点训练范围、负例语义需进一步证据,OFFICIAL_TASK_WEIGHTS_REGISTERED
DTBind_occurrence,OFFICIAL_TASK_WEIGHT,occurrence_model.pth,训练数据下载入口存在；检查点对应成员与重叠待核验,UNKNOWN,https://github.com/liqy09/DTBind,occurrence原生特征；affinity需要复合物结构另评,结合发生分类,不同任务头不能按测试表现互换,OFFICIAL_TASK_WEIGHTS_REGISTERED
DTIAM_A,LOCAL_TASK_FIT_AUTHORIZED,本地任务权重，16对复算通过；非官方任务检查点,本地A训练337570对；验证选seed20260923,LOCAL_MEMBERS_AVAILABLE_OTHER_PUBLIC_OVERLAP_UNKNOWN,outputs/biomaster_dtiam_ab_20260912/kdki_inactive__seed_20260923/predictor,SMILES＋蛋白序列；首1022残基,Kd/Ki＋明确失活二分类概率,复用现成A版；报告本地监督、验证选模和版本差异,EXISTING_LOCAL_PREDICTOR_REPLAY_PASS
MAMMAL_pKd,OFFICIAL_TASK_WEIGHTS_PENDING_QUALIFICATION,官方任务权重远端已确认，1.832 GB；本地未加载,BindingDB Kd/TDC；模型卡声明drug+target cold split,UNKNOWN,https://huggingface.co/ibm-research/biomed.omics.bl.sm.ma-ted-458m.dti_bindingdb_pkd,SMILES＋蛋白序列,pKd连续回归,固定任务检查点、tokenizer和反标准化参数，先小批复现,PENDING_ADAPTER_QUALIFICATION
BALM,OFFICIAL_TASK_WEIGHTS_PENDING_QUALIFICATION,官方BindingDB任务文件远端确认，0.612 GB；未加载,清洗BindingDB；本轮指定random版，不能按测试挑split,UNKNOWN,https://huggingface.co/BALM/bdb-cleaned-r-esm-lokr-chemberta-loha-cosinemse,SMILES＋蛋白序列,亲和回归；保留原始余弦与作者映射,核对基础编码器、LoKr/LoHa依赖、缩放和长度上限,PENDING_ADAPTER_QUALIFICATION
EviDTI,OFFICIAL_TASK_WEIGHTS_PENDING_QUALIFICATION,3套官方任务权重已在本地；目录适配未完成,DrugBank/Davis/KIBA分任务,UNKNOWN,https://zenodo.org/records/14056305,蛋白序列＋分子2D/3D特征,分类概率和证据不确定性,先核对DrugBank原生任务；其他头单列，不按测试挑头,PENDING_ADAPTER_QUALIFICATION
GraphBAN,OFFICIAL_TASK_WEIGHTS_PENDING_QUALIFICATION,官方案例任务包已确认；BindingDB包9.538 GB；未加载,BindingDB/BioSNAP/KIBA等；指定BindingDB案例版本,UNKNOWN,https://zenodo.org/records/14813233,分子图＋序列表征；原生任务依赖待复现,CPI分类,核对案例模型、教师与特征依赖；冻结student推理，不用本地测试做适配,PENDING_ADAPTER_QUALIFICATION
