system_id,cluster,source,predicted_residue_coverage,contact_ap,distance_mae,site_hit_1,available
1ddt__1__1.A_2.A__1.B,c1769,experimental_native,0.8333333333333334,0.6048101342283327,1.2730273008346558,1,True
1ddt__1__1.A_2.A__2.B,c1769,experimental_native,0.8333333333333334,0.5738679583650937,1.3334975242614746,1,True
1d09__1__1.A_2.A__1.E,c103,experimental_native,0.8333333333333334,0.5425896969710584,1.2168912887573242,1,True
1d09__1__1.C_2.C__2.G,c103,experimental_native,0.8823529411764706,0.33945711529032946,1.7356191873550415,1,True
1d09__1__1.C_3.C__1.G,c103,experimental_native,1.0,0.27846560829611366,1.9830571413040161,1,True
1d09__1__1.A_3.A__3.E,c103,experimental_native,0.8888888888888888,0.29931790463642494,1.851396083831787,1,True
2ag6__2__2.A__2.B,c121,experimental_native,0.9230769230769231,0.656924594731415,1.0791325569152832,1,True
2aix__1__2.A__2.B,c7,experimental_native,0.8666666666666667,0.7196503657499908,0.8272790312767029,1,True
2ag6__1__1.A__1.B,c121,experimental_native,0.9230769230769231,0.6359401938269904,1.083953857421875,1,True
2aix__1__1.A__1.B,c7,experimental_native,0.8,0.7270320370135765,0.8349399566650391,1,True
2ahv__1__1.D__1.H,c2034,experimental_native,0.56,0.3686150269645678,1.2782725095748901,1,True
2bdm__2__1.A_2.A__2.D,c11013,experimental_native,1.0,0.6491073905992775,0.8160259127616882,1,True
2c84__1__1.A__1.B,c1327,experimental_native,0.0,0.837570309431457,0.6573572158813477,1,True
2de3__1__1.A__1.D,c4237,experimental_native,0.9411764705882353,0.4486045758274178,1.1925514936447144,1,True
2de3__2__1.B__1.G,c4237,experimental_native,0.9411764705882353,0.46426451545473135,1.0435632467269897,1,True
2de4__1__1.A__1.D,c4237,experimental_native,0.9411764705882353,0.479493321259959,1.1081057786941528,1,True
2dcl__1__1.B_1.C__1.F,c4257,experimental_native,0.9375,0.7211036109748991,0.8434333801269531,1,True
2dcl__1__2.B_2.C__2.F,c4257,experimental_native,0.9375,0.7268853258887948,0.8427470922470093,1,True
3b7d__1__1.A__1.I,c7,experimental_native,0.9230769230769231,0.6716858721774555,1.0036325454711914,1,True
3b7d__2__1.C__1.K,c7,experimental_native,0.8461538461538461,0.6908511352501242,0.9556319713592529,1,True
3b7d__1__1.B__1.J,c7,experimental_native,0.8333333333333334,0.7053889598887121,0.9290837645530701,1,True
3b7d__2__1.D__1.L,c7,experimental_native,0.9166666666666666,0.6902812872339611,0.9579139351844788,1,True
3b7d__3__1.E__1.M,c7,experimental_native,0.9230769230769231,0.6602876390534819,0.9946604371070862,1,True
3b7d__3__1.F__1.N,c7,experimental_native,0.9166666666666666,0.667294355717553,0.943658173084259,1,True
3b7d__4__1.G__1.O,c7,experimental_native,0.8333333333333334,0.6940572711453133,0.949013888835907,1,True
3b7d__4__1.H__1.P,c7,experimental_native,0.9166666666666666,0.721125974001207,0.916532039642334,1,True
3bki__1__1.A__1.E,c7,experimental_native,0.9166666666666666,0.38053664325262526,2.102379560470581,1,True
3bki__2__1.B__1.F,c7,experimental_native,0.9166666666666666,0.624095205662053,1.5837085247039795,1,True
3bki__3__1.C__1.G,c7,experimental_native,0.8333333333333334,0.5485066108105908,2.0032453536987305,1,True
3bki__4__1.D__1.H,c7,experimental_native,0.75,0.4762637549898173,2.217608690261841,1,True
3bda__1__1.A__1.D,c33,experimental_native,0.8235294117647058,0.6675387525667525,0.8363941311836243,1,True
3bd8__1__2.A__2.C,c33,experimental_native,0.8333333333333334,0.6531231845001648,0.8236132860183716,1,True
3bd7__1__1.A__1.D,c33,experimental_native,0.8823529411764706,0.666008510377803,0.8227277994155884,1,True
3bd7__1__2.A__2.D,c33,experimental_native,0.9411764705882353,0.661174143786943,0.8207483291625977,1,True
3bd8__1__1.A__1.C,c33,experimental_native,0.8888888888888888,0.6534807734493943,0.8192997574806213,1,True
3bz9__1__1.A__1.F,c1599,experimental_native,1.0,0.6268163091751828,1.2349655628204346,1,True
3bz7__1__1.A__1.E,c1599,experimental_native,1.0,0.699403288970273,1.015574336051941,1,True
3bz9__2__2.A__2.F,c1599,experimental_native,1.0,0.6357022378686312,1.2239042520523071,1,True
3bz7__2__2.A__2.E,c1599,experimental_native,1.0,0.6808557645947458,1.0351459980010986,1,True
