mechanistic_branch,mechanistic_branch_zh,target_count,genes,p1_dual_pocket_targets,p2_geometric_rescue_targets,p3_low_confidence_targets,gnina_strong_targets,gnina_marginal_targets,gnina_failed_targets,no_12x12_targets,formal_computational_triage_pairs
B01_PROTEIN_KINASE,蛋白激酶,6,AKT3;FRK;MAP3K10;MAP3K13;MAPKAPK5;YES1,6,0,0,0,3,2,1,0
B02_LIPID_METABOLIC_KINASE,脂质/代谢物激酶,3,PIK3CB;PIKFYVE;SPHK2,3,0,0,1,1,1,0,0
B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,11,CYP26A1;DHCR24;DIO1;DPYD;EGLN3;GPD2;HSD3B2;LOXL2;TBXAS1;TPO;TYR,10,0,1,1,2,2,6,2
B04_MEMBRANE_NADPH_OXIDASE,膜NADPH氧化酶,2,NOX1;NOX4,2,0,0,1,0,1,0,0
B05_NONREDOX_METABOLIC_ENZYME,非氧化还原代谢酶,7,ABAT;CPT1B;CPT2;FAAH;PPP2CB;RPE65;UGCG,7,0,0,0,2,2,3,0
B06_MULTISUBUNIT_RNA_POLYMERASE,多亚基RNA聚合酶,2,POLR2A;POLR3A,2,0,0,0,0,0,2,0
B07_UBIQUITIN_ADAPTOR,泛素连接/衔接蛋白,1,TRAF3IP2,0,1,0,0,0,0,1,0
B08_ION_CHANNEL_PORE,成孔离子通道,8,ANO1;KCNA5;KCND3;KCNJ2;KCNJ8;KCNK18;RYR1;SCN11A,2,5,1,0,1,1,6,0
B09_CHANNEL_AUXILIARY_SUBUNIT,离子通道辅助亚基,1,CACNA2D2,1,0,0,0,0,0,1,0
B10_SOLUTE_TRANSPORTER,溶质转运体,3,SLC10A2;SLC12A1;SLC22A8,3,0,0,0,0,1,2,0
B11_EPIGENETIC_ENZYME,表观遗传酶,1,HDAC11,1,0,0,0,0,1,0,0
B12_TRANSCRIPTION_FACTOR_PPI,转录因子/蛋白互作,1,NFE2L2,0,1,0,0,0,0,1,0
