target_chembl_id,gene_symbol,target_name,legacy_assay_lane,mechanistic_branch,mechanistic_branch_zh,mechanistic_subclass,required_structural_biochemical_context_zh,class_specific_compute_protocol_zh,target_specific_primary_assay_zh,orthogonal_assay_and_counterscreen_zh,required_controls_zh
CHEMBL4816,AKT3,RAC-gamma serine/threonine-protein kinase,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,AGC_SER_THR_PROTEIN_KINASE,ATP位点、PH域和磷酸化激活状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,AKT3激酶活性与底物磷酸化,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL4223,FRK,Tyrosine-protein kinase FRK,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,SRC_FAMILY_TYROSINE_KINASE,ATP位点与激活环/自抑制状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,FRK酪氨酸激酶活性,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL2873,MAP3K10,Mitogen-activated protein kinase kinase kinase 10,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,MLK_FAMILY_PROTEIN_KINASE,ATP位点与激活环状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,MAP3K10激酶活性与下游磷酸化,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL1163124,MAP3K13,Mitogen-activated protein kinase kinase kinase 13,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,LZK_FAMILY_PROTEIN_KINASE,ATP位点与激活环状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,MAP3K13激酶活性与下游磷酸化,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL3094,MAPKAPK5,MAP kinase-activated protein kinase 5,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,CAMK_FAMILY_PROTEIN_KINASE,ATP位点、核苷酸和激活状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,MAPKAPK5激酶活性与底物磷酸化,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL2073,YES1,Tyrosine-protein kinase Yes,KINASE_BIOCHEMICAL,B01_PROTEIN_KINASE,蛋白激酶,SRC_FAMILY_TYROSINE_KINASE,ATP位点与SH2/SH3自抑制状态,ATP位点与变构位点构象ensemble；ConPLEx+DrugCLIP交叉排序；历史正负对照校准GNINA；只有结构门控通过后才做局部MD,YES1酪氨酸激酶活性,NanoBRET靶点占有或细胞磷酸化读数；近缘激酶选择性面板,参考抑制剂、无活性类似物、DMSO、无酶、近缘激酶
CHEMBL3145,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",ENZYME_BIOCHEMICAL,B02_LIPID_METABOLIC_KINASE,脂质/代谢物激酶,CLASS_I_LIPID_KINASE,膜、ATP、PIP2与调节亚基,保留ATP与脂质底物双位点、膜/脂质环境和构象ensemble；ConPLEx+DrugCLIP；对照校准口袋后再做候选对接,PIP2到PIP3的脂质激酶活性,直接结合测定加细胞脂质组学或产物定量；同家族激酶反筛,参考抑制剂、底物竞争、无酶、无ATP、DMSO、同家族激酶
CHEMBL1938222,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase,ENZYME_BIOCHEMICAL,B02_LIPID_METABOLIC_KINASE,脂质/代谢物激酶,PHOSPHOINOSITIDE_LIPID_KINASE,膜、ATP、PI3P与复合物状态,保留ATP与脂质底物双位点、膜/脂质环境和构象ensemble；ConPLEx+DrugCLIP；对照校准口袋后再做候选对接,"PI3P到PI(3,5)P2的脂质激酶活性",直接结合测定加细胞脂质组学或产物定量；同家族激酶反筛,参考抑制剂、底物竞争、无酶、无ATP、DMSO、同家族激酶
CHEMBL3023,SPHK2,Sphingosine kinase 2,ENZYME_BIOCHEMICAL,B02_LIPID_METABOLIC_KINASE,脂质/代谢物激酶,SPHINGOLIPID_KINASE,膜/脂质环境、ATP与鞘氨醇,保留ATP与脂质底物双位点、膜/脂质环境和构象ensemble；ConPLEx+DrugCLIP；对照校准口袋后再做候选对接,鞘氨醇到S1P的LC-MS或放射性激酶测定,直接结合测定加细胞脂质组学或产物定量；同家族激酶反筛,参考抑制剂、底物竞争、无酶、无ATP、DMSO、同家族激酶
CHEMBL5141,CYP26A1,Cytochrome P450 26A1,ENZYME_BIOCHEMICAL,B03_COFACTOR_RED_OX_ENZYME,辅因子/金属依赖氧化还原酶,HEME_P450_MONOOXYGENASE,血红素、NADPH-P450还原酶与视黄酸底物,按靶点保留血红素、FAD/FMN、金属、硒或LTQ环境；预测口袋ensemble和双DTA；缺辅因子的生成式结构不得升级为结合证据,全反式视黄酸代谢LC-MS,直接结合SPR/BLI/MST/DSF与产物LC-MS或辅因子相关光谱；同工酶反筛,参考抑制剂、无酶、无辅因子、底物空白、DMSO、同工酶
