target_chembl_id,gene_symbol,uniprot_accession,target_name,assay_lane,is_gpcr,small_molecule_moa,ot_project_standard_direct_sm,known_unique_pocket_count,passes_non_gpcr,passes_chembl_small_molecule_moa,passes_supported_target_class,passes_any_experimental_pocket,passes_preferred_experimental_pocket,passes_preferred_druglike_experimental_pocket,in_final_target_set,first_exclusion_reason,final_scope_branch
CHEMBL1628481,APLNR,P35414,Apelin receptor,GPCR_MEMBRANE_ASSAY,True,False,False,79,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL1832,CALCR,P30988,Calcitonin receptor,GPCR_MEMBRANE_ASSAY,True,False,False,69,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL2414,CCR4,P51679,C-C chemokine receptor type 4,GPCR_MEMBRANE_ASSAY,True,False,False,4,False,False,False,True,False,False,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL2024,FSHR,P23945,Follicle-stimulating hormone receptor,GPCR_MEMBRANE_ASSAY,True,False,False,9,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL2346493,FZD1,Q9UP38,Frizzled-1,GPCR_MEMBRANE_ASSAY,True,False,False,0,False,False,False,False,False,False,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL3559686,FZD2,Q14332,Frizzled-2,GPCR_MEMBRANE_ASSAY,True,False,False,3,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL3559687,FZD5,Q13467,Frizzled-5,GPCR_MEMBRANE_ASSAY,True,False,False,2,False,False,False,True,False,False,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL3559688,FZD7,O75084,Frizzled-7,GPCR_MEMBRANE_ASSAY,True,False,False,14,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL3559689,FZD8,Q9H461,Frizzled-8,GPCR_MEMBRANE_ASSAY,True,False,False,2,False,False,False,True,False,False,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
CHEMBL2032,GHRHR,Q02643,Growth hormone-releasing hormone receptor,GPCR_MEMBRANE_ASSAY,True,False,False,5,False,False,False,True,True,True,False,EXCLUDE_GPCR,HARD_GATE_EXCLUDED_480
