review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0631,Axitinib,FLT4,阳性对照：Axitinib-FLT4；CML/乳腺癌信号仅作流程和 assay 对照,"child Open Targets 最佳疾病为 breast carcinoma，score=0.301（genetic=0.000, clinical=0.122, literature=0.427），FLT4-疾病证据为中等。Axitinib→FLT4 主要由 ConPLEx=0.392/rank=17 支撑；exact known/control 标记为真，不能作为新适应症候选。","原始 target-engagement 可行性=高; assay lane=biochemical/target-engagement; ConPLEx=0.392, rank=17; 自动优先级=P0_positive_control. 作为阳性/流程对照保留，不作为新发现推进。",不进入主验证；如需保留，仅做最小化确认：FLT4 纯化蛋白活性/结合实验（DSF、SPR、CETSA/TPP）；在 阳性对照：Axitinib-FLT4 模型中做 target engagement 与下游功能 readout 的剂量响应。,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛；加入 FLT4 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除 PAINS、金属螯合、氧化还原和荧光干扰。,low,P0_control_only,control_only,exact known/control 标记为真，不能作为新适应症候选。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=已知/阳性对照，不作为新发现; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0632,Larotrectinib Sulfate,CDK4,CDK4 依赖乳腺癌（优先 HR+）；食管腺癌和结直肠腺癌备选,"child Open Targets 最佳疾病为 breast cancer，score=0.631（genetic=0.000, clinical=0.988, literature=0.987），CDK4-疾病证据为较强。Larotrectinib Sulfate→CDK4 主要由 ConPLEx=0.518/rank=9 支撑；CDK4-乳腺癌 child OT 证据强，但同类细胞周期机制和已报道状态降低 novelty。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.518, rank=9; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：CDK4 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK4 依赖乳腺癌（优先 HR+） 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK4 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,CDK4-乳腺癌 child OT 证据强，但同类细胞周期机制和已报道状态降低 novelty。 child_ot_status=child_ot_match; best_child=breast cancer; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0633,Larotrectinib Sulfate,CDK6,CDK6 依赖 HR+乳腺癌；AML/ALL；淋巴瘤,"child Open Targets 最佳疾病为 breast carcinoma，score=0.610（genetic=0.000, clinical=0.874, literature=0.696），CDK6-疾病证据为较强。Larotrectinib Sulfate→CDK6 主要由 ConPLEx=0.518/rank=10 支撑；CDK6 疾病证据较强且 kinase assay 成熟，主要风险是同类机制扩展。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.518, rank=10; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：CDK6 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 CDK6 依赖 HR+乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 CDK6 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,CDK6 疾病证据较强且 kinase assay 成熟，主要风险是同类机制扩展。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0634,Erdafitinib,MET,MET 相关乳腺癌；甲状腺乳头状癌；其他 MET 依赖肿瘤需二次限定,"child Open Targets 最佳疾病为 breast carcinoma，score=0.323（genetic=0.195, clinical=0.061, literature=0.963），MET-疾病证据为中等。Erdafitinib→MET 主要由 ConPLEx=0.311/rank=2 支撑；MET 文献信号强但 child clinical 较弱，建议中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.311, rank=2; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：MET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 MET 相关乳腺癌 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 MET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,MET 文献信号强但 child clinical 较弱，建议中优先级验证。 child_ot_status=child_ot_match; best_child=breast carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=gene symbol/缩写可能产生文献或检索歧义；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0635,Belinostat,BCL2,BCL2 依赖 CLL；AML；BCL2 依赖淋巴瘤,"child Open Targets 最佳疾病为 B-cell chronic lymphocytic leukemia，score=0.742（genetic=0.762, clinical=0.966, literature=0.973），BCL2-疾病证据为较强。Belinostat→BCL2 主要由 ConPLEx=0.219/rank=36 支撑；BCL2-CLL 疾病证据强，但 Belinostat-BCL2 ConPLEx 低、rank 靠后且 assay lane 不理想。","原始 target-engagement 可行性=中; assay lane=ion channel functional; ConPLEx=0.219, rank=36; 自动优先级=P2_review_candidate. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：BCL2 自动膜片钳或通量/膜电位 readout；在 BCL2 依赖 CLL 相关细胞中确认剂量依赖和可逆性。,hERG/SCN5A 安全性、细胞毒性、膜扰动、非特异离子通道 panel；加入 BCL2 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别加入 hERG、SCN5A 和膜扰动安全性面板。,high,P3_review_low,review_low,BCL2-CLL 疾病证据强，但 Belinostat-BCL2 ConPLEx 低、rank 靠后且 assay lane 不理想。 child_ot_status=child_ot_match; best_child=B-cell chronic lymphocytic leukemia; novelty=同原适应症方向扩展，novelty 中等偏低; major_risks=离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0636,Pazopanib Hydrochloride,EGFR,EGFR 突变/依赖 NSCLC；头颈鳞癌；少突胶质细胞瘤探索,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.853（genetic=0.746, clinical=0.996, literature=1.000），EGFR-疾病证据为强。Pazopanib Hydrochloride→EGFR 主要由 ConPLEx=0.565/rank=12 支撑；EGFR-NSCLC child OT 非常强，Pazopanib 作为多靶点 kinase 药物可中优先级验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.565, rank=12; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：EGFR 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 EGFR 突变/依赖 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 EGFR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,EGFR-NSCLC child OT 非常强，Pazopanib 作为多靶点 kinase 药物可中优先级验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0637,Fulvestrant,AR,AR 驱动前列腺癌；乳腺癌内分泌耐药探索,"child Open Targets 最佳疾病为 prostate cancer，score=0.803（genetic=0.838, clinical=0.992, literature=0.997），AR-疾病证据为强。Fulvestrant→AR 主要由 ConPLEx=0.688/rank=8 支撑；AR-前列腺癌证据强且 Fulvestrant 有核受体背景，但 reporter 和激素轴混杂需严格反筛。","原始 target-engagement 可行性=中高; assay lane=nuclear receptor/TF reporter; ConPLEx=0.688, rank=8; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：AR reporter、cofactor recruitment 和 CETSA/NanoBRET；在 AR 驱动前列腺癌 模型中检测下游靶基因 qPCR/蛋白变化。,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性；加入 AR 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除广谱转录调节、荧光素酶干扰和激素受体交叉效应。,medium,P2_medium,keep_medium,AR-前列腺癌证据强且 Fulvestrant 有核受体背景，但 reporter 和激素轴混杂需严格反筛。 child_ot_status=child_ot_match; best_child=prostate cancer; novelty=同靶点家族机制扩展，novelty 中等; major_risks=gene symbol/缩写可能产生文献或检索歧义；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0638,Afatinib Dimaleate,RET,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Afatinib Dimaleate→RET 主要由 ConPLEx=0.475/rank=8 支撑；RET-NSCLC 证据强，Afatinib 可做 RET off-target 验证，但同为肿瘤 kinase 方向 novelty 中等。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.475, rank=8; 自动优先级=P1_priority_manual_review. 可进入小规模验证；若 target engagement 或选择性不足，应及时停止。",建议验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P2_medium,keep_medium,RET-NSCLC 证据强，Afatinib 可做 RET off-target 验证，但同为肿瘤 kinase 方向 novelty 中等。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0639,Pazopanib Hydrochloride,RET,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Pazopanib Hydrochloride→RET 主要由 ConPLEx=0.860/rank=8 支撑；ConPLEx 很高且 RET-NSCLC clinical/literature 支持强，值得优先验证。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.860, rank=8; 自动优先级=P1_priority_manual_review. 疾病模型具体、验证路径清晰，建议进入优先实验队列，但仍需用正交 target engagement 排除多靶点解释。",建议验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,medium,P1_high,keep_high,ConPLEx 很高且 RET-NSCLC clinical/literature 支持强，值得优先验证。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
strict895_0640,Osimertinib Mesylate,RET,RET 融合 NSCLC；大细胞神经内分泌癌；RET 相关甲状腺癌,"child Open Targets 最佳疾病为 non-small cell lung carcinoma，score=0.706（genetic=0.000, clinical=0.977, literature=0.991），RET-疾病证据为较强。Osimertinib Mesylate→RET 主要由 ConPLEx=0.337/rank=9 支撑；RET 疾病证据强，但 Osimertinib 已在 NSCLC 方向，且 ConPLEx 中低，老药新用空间有限。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.337, rank=9; 自动优先级=P1_priority_manual_review. 仅建议低成本先导实验或人工排重后再决定，不应占用主验证资源。",低成本先导验证：RET 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 RET 融合 NSCLC 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 RET 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,high,P3_review_low,review_low,RET 疾病证据强，但 Osimertinib 已在 NSCLC 方向，且 ConPLEx 中低，老药新用空间有限。 child_ot_status=child_ot_match; best_child=non-small cell lung carcinoma; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
