review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0721,Capmatinib Hydrochloride,VKORC1,动脉粥样硬化；急性心肌梗死；移植心脏并发症,预测 Capmatinib Hydrochloride 作用于 VKORC1，疾病锚点为动脉粥样硬化；急性心肌梗死；移植心脏并发症。child OT 状态=child_ot_match，最佳 child disease=动脉粥样硬化，总分0.261（遗传0.000/临床0.426/文献0.086）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为中高，建议使用酶学/结合路线；ConPLEx=0.217、药内rank=42。只建议低优先复核，不应进入主筛。主要限制：同靶点家族可能存在机制泄漏/选择性不足。,重组蛋白酶活/底物转换或结合实验；细胞 CETSA/TPP 与下游通路 readout；阳性后再做疾病模型。,同家族酶/近邻靶点反筛、母药主机制反筛、蛋白聚集/PAINS、细胞毒性和底物干扰。,high,P3_review_low,review_low,VKORC1/动脉粥样硬化有一定 OT 临床信号，但 ConPLEx 低且为凝血/维生素K轴，先低优先复核出血和选择性。 审计依据：ConPLEx=0.217/rank=42；best_child=动脉粥样硬化(OT=0.261)；literature_status=not_audited_in_local_literature_table。
strict895_0722,Bosutinib Monohydrate,LCK,白血病；鼻咽癌；急性髓系白血病,预测 Bosutinib Monohydrate 作用于 LCK，疾病锚点为白血病；鼻咽癌；急性髓系白血病。child OT 状态=child_ot_match，最佳 child disease=急性髓系白血病，总分0.378（遗传0.000/临床0.494/文献0.641）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为高，建议使用激酶生化+细胞通路路线；ConPLEx=0.775、药内rank=11。适合作阳性、同家族或再发现对照，不计入新用途优先项。主要限制：同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。,重组靶激酶 IC50/ATP 竞争实验；细胞 NanoBRET/CETSA 或 phospho-substrate readout；阳性后进入疾病相关细胞模型。,广谱 kinase panel、母药已知主靶点反筛、细胞毒性/ATP 下降、相近激酶选择性和疾病细胞阴性对照。,medium,P0_control_only,control_only,Bosutinib-LCK 属 Src/LCK 家族再发现，且本地状态提示已报道；适合阳性/家族泄漏对照，不作为新用途优先项。 审计依据：ConPLEx=0.775/rank=11；best_child=急性髓系白血病(OT=0.378)；literature_status=reported_post_approval_old_drug_new_target。
strict895_0723,Palbociclib,DPYD,宫颈癌；肝细胞癌,预测 Palbociclib 作用于 DPYD，疾病锚点为宫颈癌；肝细胞癌。child OT 状态=child_ot_match，最佳 child disease=肝细胞癌，总分0.113（遗传0.000/临床0.151/文献0.698）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为高，建议使用酶学/结合路线；ConPLEx=0.504、药内rank=22。当前证据不足，不建议推进。主要限制：同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。,重组蛋白酶活/底物转换或结合实验；细胞 CETSA/TPP 与下游通路 readout；阳性后再做疾病模型。,同家族酶/近邻靶点反筛、母药主机制反筛、蛋白聚集/PAINS、细胞毒性和底物干扰。,high,P4_deprioritize,deprioritize,DPYD 更像氟嘧啶代谢/毒性药理标记，肝癌 child OT 弱；Palbociclib 肿瘤方向的新用途价值低。 审计依据：ConPLEx=0.504/rank=22；best_child=肝细胞癌(OT=0.113)；literature_status=not_audited_in_local_literature_table。
strict895_0724,Avibactam Sodium,SLC12A1,肾母细胞瘤；慢性肾病/肾纤维化/肾小球损伤；chronic kidney disease,预测 Avibactam Sodium 作用于 SLC12A1，疾病锚点为肾母细胞瘤；慢性肾病/肾纤维化/肾小球损伤；chronic kidney disease。child OT 状态=child_ot_match，最佳 child disease=chronic kidney disease，总分0.496（遗传0.000/临床0.785/文献0.620）。文献状态未充分审计，需人工排重。,TE 可行性原评估为中，建议使用转运体摄取/外排路线；ConPLEx=0.289、药内rank=68。只建议低优先复核，不应进入主筛。主要限制：转运体 readout 易受底物、外排和细胞状态影响。,底物摄取/外排动力学、转运体过表达/敲低救援和膜定位检测；避免只看终点表型。,P-gp/BCRP/MRP 外排、膜完整性、线粒体毒性、底物荧光/放射干扰和转运体阴性细胞。,high,P3_review_low,review_low,SLC12A1-CKD child OT 较强但 Avibactam 的转运体 TE 证据和药内排名偏弱，需先证明直接作用。 审计依据：ConPLEx=0.289/rank=68；best_child=chronic kidney disease(OT=0.496)；literature_status=not_audited_in_local_literature_table。
strict895_0725,Ribociclib Succinate,KCND3,心律失常；心衰复极异常；神经兴奋性异常,预测 Ribociclib Succinate 作用于 KCND3，疾病锚点为心律失常；心衰复极异常；神经兴奋性异常。child OT 状态=child_ot_match，最佳 child disease=心律失常，总分0.552（遗传0.585/临床0.760/文献0.105）。文献状态未充分审计，需人工排重。,TE 可行性原评估为中，建议使用转运体摄取/外排路线；ConPLEx=0.258、药内rank=58。可直接进入首轮小规模正交验证。主要限制：转运体 readout 易受底物、外排和细胞状态影响。,底物摄取/外排动力学、转运体过表达/敲低救援和膜定位检测；避免只看终点表型。,P-gp/BCRP/MRP 外排、膜完整性、线粒体毒性、底物荧光/放射干扰和转运体阴性细胞。,medium,P1_keep_high,keep_high,KCND3 与心律失常有遗传和临床 OT 支持，疾病具体且非同标签；应改用 Kv4.3 电生理而不是普通转运体 readout。 审计依据：ConPLEx=0.258/rank=58；best_child=心律失常(OT=0.552)；literature_status=not_audited_in_local_literature_table。
strict895_0726,Difluprednate,AKT1,银屑病/特应性皮炎/角化异常；银屑病,预测 Difluprednate 作用于 AKT1，疾病锚点为银屑病/特应性皮炎/角化异常；银屑病。child OT 状态=child_ot_match，最佳 child disease=银屑病，总分0.093（遗传0.000/临床0.000/文献0.763）。文献状态未充分审计，需人工排重。,TE 可行性原评估为中高，建议使用激酶生化+细胞通路路线；ConPLEx=0.269、药内rank=64。只建议低优先复核，不应进入主筛。主要限制：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。,重组靶激酶 IC50/ATP 竞争实验；细胞 NanoBRET/CETSA 或 phospho-substrate readout；阳性后进入疾病相关细胞模型。,广谱 kinase panel、母药已知主靶点反筛、细胞毒性/ATP 下降、相近激酶选择性和疾病细胞阴性对照。,high,P3_review_low,review_low,AKT1-银屑病主要靠文献信号，缺少临床/遗传 OT；Difluprednate 本身皮肤抗炎会造成机制混淆。 审计依据：ConPLEx=0.269/rank=64；best_child=银屑病(OT=0.093)；literature_status=not_audited_in_local_literature_table。
strict895_0727,Bosutinib Monohydrate,YES1,乳腺癌,预测 Bosutinib Monohydrate 作用于 YES1，疾病锚点为乳腺癌。child OT 状态=child_ot_match，最佳 child disease=乳腺癌，总分0.085（遗传0.000/临床0.122/文献0.378）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为高，建议使用激酶生化+细胞通路路线；ConPLEx=0.813、药内rank=9。适合作阳性、同家族或再发现对照，不计入新用途优先项。主要限制：同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。,重组靶激酶 IC50/ATP 竞争实验；细胞 NanoBRET/CETSA 或 phospho-substrate readout；阳性后进入疾病相关细胞模型。,广谱 kinase panel、母药已知主靶点反筛、细胞毒性/ATP 下降、相近激酶选择性和疾病细胞阴性对照。,medium,P0_control_only,control_only,Bosutinib-YES1 是 Src-family/TKI 家族泄漏风险项，child OT 疾病证据弱；仅作 kinase 家族对照。 审计依据：ConPLEx=0.813/rank=9；best_child=乳腺癌(OT=0.085)；literature_status=unreported_in_local_pubmed_audit。
strict895_0728,Enzalutamide,PTPN11,SHP2依赖RTK/RAS通路肿瘤；AML/JMML；非小细胞肺癌；急性髓系白血病,预测 Enzalutamide 作用于 PTPN11，疾病锚点为SHP2依赖RTK/RAS通路肿瘤；AML/JMML；非小细胞肺癌；急性髓系白血病。child OT 状态=child_ot_match，最佳 child disease=急性髓系白血病，总分0.643（遗传0.000/临床0.000/文献0.948）。同原适应症方向扩展，novelty 中等偏低。,TE 可行性原评估为高，建议使用酶学/结合路线；ConPLEx=0.453、药内rank=60。可保留二线，先做 TE 后再上疾病模型。主要限制：疾病方向接近原适应症，老药新用 novelty 较弱。,重组蛋白酶活/底物转换或结合实验；细胞 CETSA/TPP 与下游通路 readout；阳性后再做疾病模型。,同家族酶/近邻靶点反筛、母药主机制反筛、蛋白聚集/PAINS、细胞毒性和底物干扰。,medium,P2_keep_medium,keep_medium,PTPN11/SHP2 到 AML/JMML/RTK-RAS 肿瘤的 OT 文献信号强，Enzalutamide 非同靶家族但仍是肿瘤同方向，保留中优先。 审计依据：ConPLEx=0.453/rank=60；best_child=急性髓系白血病(OT=0.643)；literature_status=not_audited_in_local_literature_table。
strict895_0729,Larotrectinib Sulfate,JAK1,黑色素瘤；乳腺癌；多发性骨髓瘤；浆细胞骨髓瘤,预测 Larotrectinib Sulfate 作用于 JAK1，疾病锚点为黑色素瘤；乳腺癌；多发性骨髓瘤；浆细胞骨髓瘤。child OT 状态=child_ot_match，最佳 child disease=浆细胞骨髓瘤，总分0.308（遗传0.000/临床0.158/文献0.163）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为高，建议使用激酶生化+细胞通路路线；ConPLEx=0.485、药内rank=37。适合作阳性、同家族或再发现对照，不计入新用途优先项。主要限制：同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。,重组靶激酶 IC50/ATP 竞争实验；细胞 NanoBRET/CETSA 或 phospho-substrate readout；阳性后进入疾病相关细胞模型。,广谱 kinase panel、母药已知主靶点反筛、细胞毒性/ATP 下降、相近激酶选择性和疾病细胞阴性对照。,medium,P0_control_only,control_only,Larotrectinib-JAK1 本地提示 post-approval 已报道且同为肿瘤/激酶方向，作为再发现对照。 审计依据：ConPLEx=0.485/rank=37；best_child=浆细胞骨髓瘤(OT=0.308)；literature_status=reported_post_approval_old_drug_new_target。
strict895_0730,Capmatinib Hydrochloride,MME,心律失常/心衰/血管重塑；优先按靶点选择电生理或血管细胞模型；心律失常,预测 Capmatinib Hydrochloride 作用于 MME，疾病锚点为心律失常/心衰/血管重塑；优先按靶点选择电生理或血管细胞模型；心律失常。child OT 状态=child_ot_match，最佳 child disease=心律失常，总分0.008（遗传0.000/临床0.000/文献0.068）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为中高，建议使用酶学/结合路线；ConPLEx=0.238、药内rank=30。当前证据不足，不建议推进。主要限制：同靶点家族可能存在机制泄漏/选择性不足。,重组蛋白酶活/底物转换或结合实验；细胞 CETSA/TPP 与下游通路 readout；阳性后再做疾病模型。,同家族酶/近邻靶点反筛、母药主机制反筛、蛋白聚集/PAINS、细胞毒性和底物干扰。,high,P4_deprioritize,deprioritize,MME 的 child OT 分数几乎为零，疾病仍停留在心律失常/心衰待定；不建议进入主验证。 审计依据：ConPLEx=0.238/rank=30；best_child=心律失常(OT=0.008)；literature_status=not_audited_in_local_literature_table。
