review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0091,Lubiprostone,JAK3,溃疡性结肠炎/克罗恩病和银屑病；可用 RA PBMC/JAK3-STAT 模型作免疫 readout,机制中等：JAK3 与溃疡性结肠炎/克罗恩病和银屑病可连通，但药物-JAK3 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,JAK3 重组 kinase IC50/ATP 竞争实验；细胞中用 cytokine 刺激后的 pSTAT readout、NanoBRET/CETSA 确认 target engagement。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,medium,keep_medium,JAK3-免疫疾病轴清楚，但 Lubiprostone 到 JAK3 只来自预测且 rank 偏后；先做靶点结合再谈疾病模型。
strict895_0092,Conivaptan Hydrochloride,TEK,低氧相关血管重塑/肺动脉高压和动脉粥样硬化内皮功能模型,机制中等：TEK 与低氧相关血管重塑/肺动脉高压和动脉粥样硬化内皮功能模型可连通，但药物-TEK 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,TEK 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,medium,keep_medium,TEK/Tie2 与血管稳定和低氧重塑相符；原 assay lane 偏泛，应按受体酪氨酸激酶和内皮 pAKT/pERK 验证。
strict895_0093,Emtricitabine,BMPR1A,BMPR1A/TGFβ-BMP 依赖的子宫内膜癌；次选结直肠癌类器官,机制合理：BMPR1A 与BMPR1A/TGFβ-BMP 依赖的子宫内膜癌形成可检验疾病轴，输入证据和 assay 可行性较好；药物-BMPR1A 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,BMPR1A/ALK 受体 kinase 或 binding assay；BMP9/BMP4 刺激的 pSMAD1/5/8 细胞 readout，并加 NanoBRET/CETSA。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,low,high,keep_high,靶点、CREEDS 子宫内膜癌和 BMP/TGFβ 机制一致，且本地 PubMed 审计较干净；适合优先做正交验证。
strict895_0094,Lubiprostone,TYK2,SLE、溃疡性结肠炎和银屑病等 TYK2-JAK/STAT 炎症模型,机制合理：TYK2 与SLE、溃疡性结肠炎和银屑病等 TYK2-JAK/STAT 炎症模型形成可检验疾病轴，输入证据和 assay 可行性较好；药物-TYK2 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,TYK2 重组 kinase IC50/ATP 竞争实验；细胞中用 cytokine 刺激后的 pSTAT readout、NanoBRET/CETSA 确认 target engagement。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,low,high,keep_high,TYK2 是强免疫适应症靶点，疾病具体且 assay 成熟；风险主要是 Lubiprostone 是否真有可达的 TYK2 engagement。
strict895_0095,Cobicistat,SCN4A,不建议作为肿瘤适应症；若保留仅作 SCN4A 肌肉钠通道安全性/膜电位对照,机制不充分：SCN4A、不建议作为肿瘤适应症和药物已知药理之间缺少清晰闭环，表型容易由非特异或原药理解释。,低：即使单项 assay 可做，靶点-疾病-药物闭环不足，不建议占用主筛资源。,SCN4A automated patch clamp/电流-电压曲线；必要时加膜电位染料或离子通量实验，确认激动/阻断方向和可逆性。,hERG/Nav/Cav/Kv 安全通道 panel、膜完整性/膜电位染料干扰、细胞毒性、温度/电压依赖非特异效应 counterscreen。,high,deprioritize,deprioritize,SCN4A 是骨骼肌钠通道，和输入肿瘤方向不匹配；癌症签名更像非特异电生理/细胞状态信号。
strict895_0096,Darunavir And Cobicistat,SCN4A,不建议作为肿瘤适应症；组合药只作 Cobicistat-SCN4A 重复验证对照,机制不充分：SCN4A、不建议作为肿瘤适应症和药物已知药理之间缺少清晰闭环，表型容易由非特异或原药理解释。,低：即使单项 assay 可做，靶点-疾病-药物闭环不足，不建议占用主筛资源。,SCN4A automated patch clamp/电流-电压曲线；必要时加膜电位染料或离子通量实验，确认激动/阻断方向和可逆性。,hERG/Nav/Cav/Kv 安全通道 panel、膜完整性/膜电位染料干扰、细胞毒性、温度/电压依赖非特异效应 counterscreen。,high,deprioritize,deprioritize,与 Cobicistat 单药重复，且 Darunavir 组合不能解释 SCN4A 肿瘤机制；不进入主候选。
strict895_0097,Emtricitabine,MAP2K2,MAP2K2/MEK2 活化的胃癌或 RAS/MAPK 依赖实体瘤,机制合理：MAP2K2 与MAP2K2/MEK2 活化的胃癌或 RAS/MAPK 依赖实体瘤形成可检验疾病轴，输入证据和 assay 可行性较好；药物-MAP2K2 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,MAP2K2 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,high,keep_high,MAP2K2-胃癌/MAPK 依赖肿瘤轴合理，ConPLEx 分数高且本地共现干净；需排除核苷类似物一般细胞毒性。
strict895_0098,Netupitant,MAPK3,缺血/低氧心肌损伤和高血压血管重塑模型；疾病仍偏宽,机制较弱/待审：MAPK3 相关 biology 可测，但缺血/低氧心肌损伤和高血压血管重塑模型的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,MAPK3 重组 kinase IC50/Kd、DSF/SPR 或 NanoBRET/CETSA；细胞层面检测对应 phospho-substrate 与剂量依赖 pathway readout。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,low,review_low,MAPK3 可连接心肌缺血和肥厚，但 Netupitant 预测排名低且机制过泛；先做小规模 pERK engagement。
strict895_0099,Rilpivirine Hydrochloride,JAK3,JAK3-STAT 相关血液肿瘤优先于肝癌；HCC 只作探索,机制较弱/待审：JAK3 相关 biology 可测，但JAK3-STAT 相关血液肿瘤优先于肝癌的疾病定位、预测强度或 novelty 不足，暂不作主候选。,中：技术上可测，但疾病定位、预测强度或 novelty 不足，建议只做小规模正交验证。,JAK3 重组 kinase IC50/ATP 竞争实验；细胞中用 cytokine 刺激后的 pSTAT readout、NanoBRET/CETSA 确认 target engagement。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,low,review_low,JAK3 更适合免疫/血液肿瘤，输入 HCC 证据弱；Rilpivirine 到 JAK3 rank 偏后。
strict895_0100,Rilpivirine Hydrochloride,BMPR1A,BMPR1A/BMP 通路异常的子宫内膜癌,机制中等：BMPR1A 与BMPR1A/BMP 通路异常的子宫内膜癌可连通，但药物-BMPR1A 主要来自计算预测或存在同家族/原药理混杂，需 TE 先行。,中-高：靶点 assay 可执行，但必须先把 target engagement 与原药理、同家族或细胞毒性效应分开。,BMPR1A/ALK 受体 kinase 或 binding assay；BMP9/BMP4 刺激的 pSMAD1/5/8 细胞 readout，并加 NanoBRET/CETSA。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,medium,medium,keep_medium,BMPR1A 与子宫内膜癌方向一致，但 Rilpivirine 预测分数和排名一般；可作为同靶点次级验证。
