review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0001,Difluprednate,KRAS,黑色素瘤或银屑病/特应性皮炎角质形成细胞模型；需具体化到 KRAS/MAPK 驱动亚型。,Difluprednate -> KRAS（GTPase KRas）：KRAS-RAS/MAPK 可连接肿瘤增殖、角质形成细胞增殖或免疫细胞活化，但 KRAS 直接小分子结合高度依赖突变型和核苷酸状态；输入未给具体抑制/激活方向，机制置信度低。,中等偏低：可做 KRAS 生化结合和细胞 RAS-GTP/pERK readout，但需突变型、核苷酸状态和等位型选择，难度高于常规激酶。,重组 KRAS（指定 WT/突变型）SPR/DSF、nucleotide exchange/GTP-loading；细胞 RAF-RBD pull-down 与 pERK 剂量反应。,HRAS/NRAS 选择性、SOS1/RAF 旁路、MEK/ERK 直接抑制、聚集体/PAINS、细胞毒性；按药物已知主靶点加反筛。,high,low,review_low,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 文献状态未充分审计，需人工排重。 疾病候选仍需具体化。
strict895_0002,Doravirine,AR,AR 依赖前列腺癌、AR 阳性三阴性乳腺癌；可加雄激素相关皮肤/生殖模型。,Doravirine -> AR（Androgen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,medium,medium,keep_medium,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 本地共现层面较干净，仍需人工排重。
strict895_0003,Doravirine And Islatravir,AR,AR 依赖前列腺癌、AR 阳性三阴性乳腺癌；组合药需拆分 Doravirine 与 Islatravir 贡献。,Doravirine And Islatravir -> AR（Androgen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,medium,medium,keep_medium,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 组合药条目不能把效应直接归因于 Doravirine，首轮应拆单药。
strict895_0004,Ombitasvir,IDH2,IDH2 突变 AML、IDH2 突变胶质瘤/胆管癌；CREEDS AML 优先。,"Ombitasvir -> IDH2（Isocitrate dehydrogenase [NADP], mitochondrial）：IDH1/2 代谢酶与 AML、胶质瘤、胆管癌等 IDH 突变肿瘤有清楚机制；若药物能调节突变或 WT 酶活及 2-HG/α-KG，即有合理 biological story。",高：IDH 酶活、NADPH/2-HG/α-KG readout、突变型/WT 选择性和细胞代谢 readout 都可直接执行。,重组 IDH1/2 NADPH 消耗或 α-KG/2-HG LC-MS assay，突变型和 WT 并测；CETSA/SPR 佐证。,IDH1/IDH2 交叉选择性、细胞代谢/线粒体毒性、NADPH/荧光干扰、细胞 2-HG 非特异下降。,low,high,keep_high,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 文献状态未充分审计，需人工排重。
strict895_0005,Doravirine,KRAS,KRAS 突变结直肠癌、黑色素瘤或睾丸肿瘤；需限定 KRAS 等位型。,Doravirine -> KRAS（GTPase KRas）：KRAS-RAS/MAPK 可连接肿瘤增殖、角质形成细胞增殖或免疫细胞活化，但 KRAS 直接小分子结合高度依赖突变型和核苷酸状态；输入未给具体抑制/激活方向，机制置信度低。,中等偏低：可做 KRAS 生化结合和细胞 RAS-GTP/pERK readout，但需突变型、核苷酸状态和等位型选择，难度高于常规激酶。,重组 KRAS（指定 WT/突变型）SPR/DSF、nucleotide exchange/GTP-loading；细胞 RAF-RBD pull-down 与 pERK 剂量反应。,HRAS/NRAS 选择性、SOS1/RAF 旁路、MEK/ERK 直接抑制、聚集体/PAINS、细胞毒性；按药物已知主靶点加反筛。,high,low,review_low,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 文献状态未充分审计，需人工排重。
strict895_0006,Doravirine And Islatravir,KRAS,KRAS 突变结直肠癌、黑色素瘤或睾丸肿瘤；组合药需拆分单药贡献并限定 KRAS 等位型。,Doravirine And Islatravir -> KRAS（GTPase KRas）：KRAS-RAS/MAPK 可连接肿瘤增殖、角质形成细胞增殖或免疫细胞活化，但 KRAS 直接小分子结合高度依赖突变型和核苷酸状态；输入未给具体抑制/激活方向，机制置信度低。,中等偏低：可做 KRAS 生化结合和细胞 RAS-GTP/pERK readout，但需突变型、核苷酸状态和等位型选择，难度高于常规激酶。,重组 KRAS（指定 WT/突变型）SPR/DSF、nucleotide exchange/GTP-loading；细胞 RAF-RBD pull-down 与 pERK 剂量反应。,HRAS/NRAS 选择性、SOS1/RAF 旁路、MEK/ERK 直接抑制、聚集体/PAINS、细胞毒性；按药物已知主靶点加反筛。,high,low,review_low,低优先复核：直接结合、疾病具体性或方向解释不足，只有 TE 和反筛同时干净才推进。 组合药加上 KRAS 高难靶点，优先级低于任何单药激酶/酶条目。
strict895_0007,Emtricitabine,CDK4,CDK4/6 依赖 HR+ 乳腺癌、脂肪肉瘤、RB 保留细胞周期依赖肿瘤。,Emtricitabine -> CDK4（Cyclin-dependent kinase 4）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,low,high,keep_high,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
strict895_0008,Rilpivirine Hydrochloride,CDK4,CDK4/6 依赖 HR+ 乳腺癌、脂肪肉瘤、RB 保留细胞周期依赖肿瘤。,Rilpivirine Hydrochloride -> CDK4（Cyclin-dependent kinase 4）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,medium,medium,keep_medium,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 文献状态未充分审计，需人工排重。
strict895_0009,Doravirine,ESR1,ER+ 乳腺癌、子宫内膜癌/内膜增生模型；可加骨/绝经相关模型。,Doravirine -> ESR1（Estrogen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,low,high,keep_high,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
strict895_0010,Doravirine And Islatravir,ESR1,ER+ 乳腺癌、子宫内膜癌/内膜增生模型；组合药需拆分单药贡献。,Doravirine And Islatravir -> ESR1（Estrogen receptor）：核受体转录调控能形成疾病故事，但必须明确激动/拮抗或降解方向；仅有 broad 肿瘤/皮肤方向不足以外推疗效。,中高：ligand-binding、cofactor recruitment、reporter、CETSA/qPCR 可做；主要限制是 reporter 假阳性和方向解释。,受体 ligand-binding TR-FRET/AlphaScreen、cofactor recruitment、luciferase reporter、CETSA/NanoBRET；qPCR 检测经典下游靶基因。,同家族核受体 panel、无受体/突变响应元件 reporter、荧光素酶干扰、广谱转录抑制、细胞毒性。,medium,medium,keep_medium,保留为中优先：机制可测，但疾病需进一步具体化或需排除药物已知主靶点/家族选择性。 组合药需拆分；ESR1 方向明确后才考虑疾病模型推进。
