review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0271,Rilpivirine Hydrochloride,LCK,T细胞白血病、CLL/淋巴瘤、AML 等淋巴细胞信号依赖模型,机制审计：优先保留。LCK 与 TCR 信号、淋巴细胞活化和血液肿瘤增殖相关，靶点-疾病链条清楚。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,LCK 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中,P1_keep_high,keep_high,建议进入首轮小规模正交验证，成功后再做疾病模型。 审计依据：ConPLEx=0.363/rank55；literature_status=not_audited_in_local_literature_table；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
strict895_0272,Cyclobenzaprine Hydrochloride,SCN2A,精神分裂症、双相障碍的神经元兴奋性/钠通道模型,机制审计：中等优先保留。SCN2A 可影响神经元钠电流和兴奋性，能解释精神分裂症/双相签名，但精神心理表型易被镇静或抗胆碱效应混杂。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN2A 自动膜片钳/电流-电压曲线为主；辅以电压敏感染料或钙流 readout，并在表达细胞和疾病相关细胞中做剂量反应。,hERG、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性和渗透压/溶剂效应反筛。 额外要求：同原适应症方向模型反筛。,中,P2_keep_medium,keep_medium,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.449/rank4；literature_status=unreported_in_local_pubmed_audit；同原适应症方向风险；离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱。
strict895_0273,Abacavir Sulfate,MAP2K1,HCC、多发性骨髓瘤、巨核细胞/髓系白血病等 MEK1 依赖肿瘤,机制审计：可审但降为低优先级。MEK1 位于 MAPK 核心通路，肿瘤机制合理，但该条目主要依赖计算预测且需证明药物真实命中 MEK1。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,MAP2K1 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P3_review_low,review_low,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.209/rank50；literature_status=not_audited_in_local_literature_table；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
strict895_0274,Arformoterol Tartrate,SCN5A,室性心律失常、传导阻滞、扩张型心肌病；更适合作心脏安全性/机制模型,机制审计：可审但降为低优先级。SCN5A 更常作为心脏安全性/传导风险靶点；作为治疗性心血管新用途的方向性不足。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN5A 自动膜片钳/电流-电压曲线为主；辅以电压敏感染料或钙流 readout，并在表达细胞和疾病相关细胞中做剂量反应。,hERG、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性和渗透压/溶剂效应反筛。,中高,P3_review_low,review_low,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.232/rank4；literature_status=not_audited_in_local_literature_table；离子通道实验成本较高，需安全性通道反筛。
strict895_0275,Apalutamide,DNMT3A,结直肠癌、AML/克隆性造血相关表观遗传模型,机制审计：可审但降为低优先级。DNMT3A 表观遗传轴与结直肠癌/髓系疾病相关，若药物能调节甲基转移活性则机制可检验。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,DNMT3A 甲基转移酶活/SAH 生成或 CpG 甲基化 assay；SPR/DSF/CETSA 做结合或细胞内 engagement；细胞层面测 5mC/靶基因甲基化。,DNMT1/DNMT3B、SAM/SAH 干扰、DNA 结合/荧光干扰、细胞毒性和全局转录反筛。 额外要求：同原适应症方向模型反筛。,中高,P3_review_low,review_low,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.436/rank32；literature_status=not_audited_in_local_literature_table；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
strict895_0276,Maraviroc,SCN5A,室性心律失常、传导阻滞、扩张型心肌病；更适合作心脏安全性/机制模型,机制审计：可审但降为低优先级。SCN5A 更常作为心脏安全性/传导风险靶点；作为治疗性心血管新用途的方向性不足。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：膜片钳可直接验证，但成本较高且需要安全性通道 panel 支撑治疗窗口。,SCN5A 自动膜片钳/电流-电压曲线为主；辅以电压敏感染料或钙流 readout，并在表达细胞和疾病相关细胞中做剂量反应。,hERG、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性和渗透压/溶剂效应反筛。,中高,P3_review_low,review_low,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.447/rank66；literature_status=not_audited_in_local_literature_table；离子通道实验成本较高，需安全性通道反筛。
strict895_0277,Enzalutamide,AKT3,宫颈癌、CML 及 AKT3/PI3K 依赖实体瘤,机制审计：中等优先保留。AKT3 属 PI3K-AKT 生存通路，肿瘤机制强，但原药为抗肿瘤方向时 novelty 被削弱。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,AKT3 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 额外要求：同原适应症方向模型反筛。,中,P2_keep_medium,keep_medium,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.515/rank12；literature_status=unreported_in_local_pubmed_audit；同原适应症方向风险；疾病方向接近原适应症，老药新用 novelty 较弱。
strict895_0278,Ozanimod Hydrochloride,RXRA,银屑病、特应性皮炎、痤疮/角化异常的角质形成细胞分化模型,机制审计：中等优先保留。RXRA 与角质形成细胞分化、炎症和皮肤屏障有关，皮肤疾病具体化较好，但 reporter 需正交验证。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中：reporter 易做但假阳性多，需配体/结合、CETSA 和内源靶基因三类证据闭环。,RXRA reporter assay 仅作初筛；需用配体竞争/SPR/DSF/CETSA、内源靶基因 qPCR/蛋白和核转位/染色质结合做正交验证。,luciferase/荧光干扰、核受体/转录因子 panel、广谱转录抑制、原药已知受体通路和细胞毒性反筛。,中,P2_keep_medium,keep_medium,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.296/rank41；literature_status=not_audited_in_local_literature_table；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响。
strict895_0279,Etravirine,ITK,T 细胞白血病、CLL/淋巴瘤、AML 的 TCR/ITK 信号模型,机制审计：可审但降为低优先级。ITK 与 T 细胞受体信号相关，血液肿瘤/免疫肿瘤方向合理；当前预测分偏低。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,ITK 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P3_review_low,review_low,可做低成本确认，但不应占用首轮资源。 审计依据：ConPLEx=0.211/rank21；literature_status=not_audited_in_local_literature_table；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
strict895_0280,Conivaptan Hydrochloride,KDR,HCC、肺癌/小细胞肺癌的 VEGFR2 血管生成模型,机制审计：中等优先保留。KDR/VEGFR2 是血管生成核心靶点，HCC/肺癌方向明确且可用酶活与细胞磷酸化验证。 现有证据仍以 ConPLEx/签名和通路分数为主，必须先用 target engagement 证明药物-靶点关系。,实验可行性中高：可用生化/结合 assay 加细胞 biomarker 做剂量依赖验证，适合先小规模正交确认。,KDR 纯化蛋白酶活 IC50/Kd 或 NanoBRET/SPR/DSF 结合；细胞层面测对应 phospho-substrate/下游 pERK、pAKT、pSTAT 或 pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、已知原靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中,P2_keep_medium,keep_medium,建议保留到二线验证，先做正交 TE 和反筛后再决定疾病模型。 审计依据：ConPLEx=0.245/rank29；literature_status=not_audited_in_local_literature_table；主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。
