排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
1,P1 前10排名且仍可探索,C384-001,tecovirimat,Envelope phospholipase OPG057,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,1,仍可探索,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,tecovirimat–AR可直接探索；尚无本轮新增AR实测不是排除理由，乳癌方向需在结合后区分。,tecovirimat,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,人天花治疗，所获美国标签非所有正痘病毒用途,HER2 positive breast carcinoma,True,CSKDFZIMJXRJGH-VWLPUNTISA-N,CHEMBL5308522; CHEMBL5308523; CHEMBL5308524,Envelope phospholipase OPG057 inhibitor,AR,CHEMBL1871,CHEMBL386630,"IC50,Kd",Kd_RECORD_PRESENT,"306232,332775,854887,1468250,1468251,2227383","21105,30644,65642,91408,123921",ABIRATERONE: ANTAGONIST; APALUTAMIDE: ANTAGONIST; BICALUTAMIDE: ANTAGONIST; CLASCOTERONE: ANTAGONIST; DANAZOL: AGONIST; DAROLUTAMIDE: ANTAGONIST; DROMOSTANOLONE PROPIONATE: AGONIST; ENZALUTAMIDE: ANTAGONIST; ETHYLESTRENOL: AGONIST; FLUOXYMESTERONE: AGONIST; FLUTAMIDE: ANTAGONIST; METHYLTESTOSTERONE: AGONIST; NANDROLONE DECANOATE: AGONIST; NANDROLONE PHENPROPIONATE: AGONIST; NILUTAMIDE: ANTAGONIST; OXANDROLONE: AGONIST; OXYMETHOLONE: AGONIST; STANOZOLOL: AGONIST; TESTOSTERONE: AGONIST; TESTOSTERONE CYPIONATE: AGONIST; TESTOSTERONE ENANTHATE: AGONIST; TESTOSTERONE PROPIONATE: AGONIST; TESTOSTERONE UNDECANOATE: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.4629629629629629,True,41.0,0.3695798546847018,CSKDFZIMJXRJGH-VWLPUNTISA-N__CHEMBL1871
2,P1 前10排名且仍可探索,C384-040,piperacillin,Bacterial penicillin-binding protein,CA1 — Carbonic anhydrase 1,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; METHOCARBAMOL,ETHOXZOLAMIDE,1,仍可探索,先验证CA1活性与含锌构建；若仅高浓度弱响应且无酶活则后置。,piperacillin–CA1有CA7毫摩尔弱效家族线索，不能外推CA1强效或阴性，适合受控探索。,piperacillin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,敏感菌感染含混合感染及限定外科预防,congestive heart failure,True,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL2354204,Bacterial penicillin-binding protein inhibitor,CA1,CHEMBL261,CHEMBL18,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"303317,801485,965226,989830,2589338,2647637","20689,60975,73951,75385,132206,137366",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR; METHAZOLAMIDE: INHIBITOR; METHOCARBAMOL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.5769230769230769,True,37.0,0.3695798546847018,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL261
3,P1 前10排名且仍可探索,C384-089,tamsulosin,Adrenergic receptor alpha-1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,1,仍可探索,确认含锌CA4域，先酶活再结合，同工酶选择性后续核对。,tamsulosin–CA4预测CA2值不是CA4实验，没有已知直接阴性，可按未知关系探索。,tamsulosin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BPH症状；明确非高血压用途,migraine disorder,True,DRHKJLXJIQTDTD-OAHLLOKOSA-N,CHEMBL2094251,Adrenergic receptor alpha-1 antagonist,CA4,CHEMBL3729,CHEMBL20,"Ki,Kd",Kd_RECORD_PRESENT,"302669,515684,801484,1441636,1657658,1816901,1816913,2081159,2279192,2341559,2602957","20788,45608,60975,89666,104260,110654,119561,125437,127254,136170",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR; METHAZOLAMIDE: INHIBITOR; TOPIRAMATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.359375,False,21.0,0.5835108789443033,DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729
4,P1 前10排名且仍可探索,C384-156,morphine,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,1,仍可探索,先CA7酶学及非特异反筛，仅出现重复、非聚集依赖信号再做梯度。,morphine–CA7已知CA2弱效仅是家族线索，仍可低成本测试CA7；溃疡方向另证。,morphine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,需要阿片治疗的严重急/慢性疼痛；非针对所有致痛原发病的治疗,duodenal ulcer,True,BQJCRHHNABKAKU-KBQPJGBKSA-N,CHEMBL233,Mu opioid receptor agonist,CA7,CHEMBL2326,CHEMBL18,"Ki,Kd",Kd_RECORD_PRESENT,"302350,989827","20823,75385",METHAZOLAMIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2023809523809523,False,25.0,0.3695798546847018,BQJCRHHNABKAKU-KBQPJGBKSA-N__CHEMBL2326
5,P1 前10排名且仍可探索,C384-074,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,1,仍可探索,验证MR-LBD竞争及激动/拮抗，阳性后另核疾病方向。,sotalol–NR3C2可探索MR竞争和方向，不能把原心律药获益归给新受体机制。,sotalol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,已证实危及生命室性心律失常；高度症状AFIB/AFL复发延迟/窦律维持；未证实增生存、不用于低症状或易逆转情形,stroke disorder,False,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CHEMBL210; CHEMBL213; CHEMBL240,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist; HERG blocker,NR3C2,CHEMBL1994,CHEMBL273453,"Kd,IC50",Kd_RECORD_PRESENT,"1658414,1791561","104297,109666",DESOXYCORTICOSTERONE ACETATE: AGONIST; DESOXYCORTICOSTERONE PIVALATE: AGONIST; DROSPIRENONE: ANTAGONIST; EPLERENONE: ANTAGONIST; FELODIPINE: ANTAGONIST; FINERENONE: ANTAGONIST; FLUDROCORTISONE ACETATE: AGONIST; NIMODIPINE: ANTAGONIST; SPIRONOLACTONE: ANTAGONIST; VAMOROLONE: ANTAGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3777777777777777,False,7.0,0.4354985135554075,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL1994
6,P1 前10排名且仍可探索,C384-194,labetalol,Adrenergic receptor,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,1,仍可探索,使用合格MME对照，区分原受体效应。,拉贝洛尔–MME缺独立直连但模型前排，可探索新机制；心血管领域重叠只影响新颖性。,labetalol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压/严重高血压控制；风险管理中的糖尿病等不是本药适应症,congestive heart failure,False,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CHEMBL2331074,Adrenergic receptor antagonist,MME,CHEMBL1944,CHEMBL289556,"Ki,IC50",Ki_NO_Kd_RECORD,"595725,1812412,2604014,2604015,2640861","49077,110542,136223,137193",RACECADOTRIL: INHIBITOR; SACUBITRIL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3043478260869565,False,12.0,0.5124733528993727,SGUAFYQXFOLMHL-UHFFFAOYSA-N__CHEMBL1944
7,P1 前10排名且仍可探索,C384-283,arformoterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,1,仍可探索,成熟CTSC与β2效应分离。,阿福特罗–CTSC可以呼吸领域新机制探索，疾病重叠不是不能做。,arformoterol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,COPD支气管收缩长期维持；标签明确不用于哮喘或急性恶化,lung disorder,False,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL210,Beta-2 adrenergic receptor agonist,CTSC,CHEMBL2252,CHEMBL3900409,"IC50,Kd",Kd_RECORD_PRESENT,"1617559,1617560,1617595,1617597,1617598,1617599,1617600,2120712,2120713,2120714,2590971,2616939","101220,120845,133030,136597",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2222222222222222,False,15.0,0.372408677346415,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL2252
8,P1 前10排名且仍可探索,C384-285,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,1,仍可探索,单成分成熟MMP7测定和金属条件对照。,瑞来巴坦肺炎复方作用不能证明MMP7，但本药宿主酶作用可探索。,relebactam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,imipenem/cilastatin/relebactam复方院内肺炎及限定复杂尿路/腹腔感染,pneumonia,False,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL2364670; CHEMBL2725; CHEMBL3562180; CHEMBL5031; CHEMBL5094; CHEMBL6131,Bacterial beta-lactamase TEM inhibitor; Beta-lactamase CTX-M inhibitor; Beta-lactamase SHV-1 inhibitor; Beta-lactamase inhibitor; Carbapenem-hydrolyzing beta-lactamase KPC inhibitor,MMP7,CHEMBL4073,CHEMBL75094,"Ki,IC50",Ki_NO_Kd_RECORD,"102105,305735","15212,20836",DOXYCYCLINE: INHIBITOR; DOXYCYCLINE CALCIUM: INHIBITOR; DOXYCYCLINE HYCLATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2238805970149253,False,9.0,0.4665432360040631,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4073
9,P1 前10排名且仍可探索,C384-007,vismodegib,Protein smoothened,NTRK1 — High affinity nerve growth factor receptor,REGORAFENIB; REPOTRECTINIB,STAUROSPORINE,2,仍可探索,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,vismodegib–NTRK1同属肿瘤削弱跨领域新颖性，不削弱研究新靶点结合的资格。,vismodegib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,符合既往手术/放疗条件的局晚或转移基底细胞癌,prostate carcinoma,False,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL5971,Smoothened homolog inhibitor,NTRK1,CHEMBL2815,CHEMBL388978,"Kd,IC50",Kd_RECORD_PRESENT,"325067,586367,1327352,1327353,1586059,1730365,1828763,2055996,2065270,2220409,2583420","30300,48311,81866,99644,107047,110936,118672,119003,123687,131258",REGORAFENIB: INHIBITOR; REPOTRECTINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.4084507042253521,True,8.0,0.3776337701451283,BPQMGSKTAYIVFO-UHFFFAOYSA-N__CHEMBL2815
10,P1 前10排名且仍可探索,C384-093,metoprolol,Beta-1 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,2,仍可探索,先确认CA4酶活和结合，同药CA7仅在有信号后扩展可节省复测。,metoprolol–CA4没有直接测量只表明未知，可先单靶点探索再扩同药CA7。,metoprolol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压、心绞痛、心衰；tartrate标签另含急性心梗降低心血管死亡风险，按剂型适用,open-angle glaucoma,True,IUBSYMUCCVWXPE-UHFFFAOYSA-N,CHEMBL213,Beta-1 adrenergic receptor antagonist,CA4,CHEMBL3729,CHEMBL20,"Ki,Kd",Kd_RECORD_PRESENT,"302669,515684,801484,1441636,1657658,1816901,1816913,2081159,2279192,2341559,2602957","20788,45608,60975,89666,104260,110654,119561,125437,127254,136170",ACETAZOLAMIDE: INHIBITOR; ACETAZOLAMIDE SODIUM: INHIBITOR; DICHLORPHENAMIDE: INHIBITOR; METHAZOLAMIDE: INHIBITOR; TOPIRAMATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3103448275862069,False,15.0,0.3695798546847018,IUBSYMUCCVWXPE-UHFFFAOYSA-N__CHEMBL3729
