排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
1,P1 前10排名且仍可探索,C384-001,tecovirimat,Envelope phospholipase OPG057,AR — Androgen receptor,ABIRATERONE; APALUTAMIDE; BICALUTAMIDE; CLASCOTERONE; DANAZOL; DAROLUTAMIDE; DROMOSTANOLONE PROPIONATE; ENZALUTAMIDE; ETHYLESTRENOL; FLUOXYMESTERONE; FLUTAMIDE; METHYLTESTOSTERONE; NANDROLONE DECANOATE; NANDROLONE PHENPROPIONATE; NILUTAMIDE; OXANDROLONE; OXYMETHOLONE; STANOZOLOL; TESTOSTERONE; TESTOSTERONE CYPIONATE; TESTOSTERONE ENANTHATE; TESTOSTERONE PROPIONATE; TESTOSTERONE UNDECANOATE,TESTOSTERONE,1,仍可探索,确认AR配体结合域对照后做可重复结合和竞争；阳性再做激动/拮抗功能区分。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
2,P1 前10排名且仍可探索,C384-040,piperacillin,Bacterial penicillin-binding protein,CA1 — Carbonic anhydrase 1,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; METHOCARBAMOL,ETHOXZOLAMIDE,1,仍可探索,先验证CA1活性与含锌构建；若仅高浓度弱响应且无酶活则后置。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
3,P1 前10排名且仍可探索,C384-089,tamsulosin,Adrenergic receptor alpha-1,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,1,仍可探索,确认含锌CA4域，先酶活再结合，同工酶选择性后续核对。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
4,P1 前10排名且仍可探索,C384-156,morphine,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,1,仍可探索,先CA7酶学及非特异反筛，仅出现重复、非聚集依赖信号再做梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
5,P1 前10排名且仍可探索,C384-074,sotalol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor; Voltage-gated inwardly rectifying potassium channel KCNH2,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,1,仍可探索,验证MR-LBD竞争及激动/拮抗，阳性后另核疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
6,P1 前10排名且仍可探索,C384-194,labetalol,Adrenergic receptor,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,1,仍可探索,使用合格MME对照，区分原受体效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
7,P1 前10排名且仍可探索,C384-283,arformoterol,Beta-2 adrenergic receptor,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,1,仍可探索,成熟CTSC与β2效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
8,P1 前10排名且仍可探索,C384-285,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,1,仍可探索,单成分成熟MMP7测定和金属条件对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
9,P1 前10排名且仍可探索,C384-007,vismodegib,Protein smoothened,NTRK1 — High affinity nerve growth factor receptor,REGORAFENIB; REPOTRECTINIB,STAUROSPORINE,2,仍可探索,核对TrkA催化域及参照；控制非特异响应，阳性后证明激酶功能效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
10,P1 前10排名且仍可探索,C384-093,metoprolol,Beta-1 adrenergic receptor,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; DICHLORPHENAMIDE; METHAZOLAMIDE; TOPIRAMATE,ACETAZOLAMIDE,2,仍可探索,先确认CA4酶活和结合，同药CA7仅在有信号后扩展可节省复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
11,P1 前10排名且仍可探索,C384-094,solifenacin,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,2,仍可探索,确认纯药与含锌CA7，结合及酶抑制一致后另审眼部用途。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
12,P1 前10排名且仍可探索,C384-128,macimorelin,Growth hormone secretagogue receptor type 1,ACE — Angiotensin-converting enzyme,BENAZEPRIL HYDROCHLORIDE; CAPTOPRIL; CILAZAPRIL; ENALAPRIL MALEATE; ENALAPRILAT; FOSINOPRIL SODIUM; IMIDAPRIL; LISINOPRIL; MOEXIPRIL HYDROCHLORIDE; PERINDOPRIL ARGININE; PERINDOPRIL ERBUMINE; QUINAPRIL HYDROCHLORIDE; RAMIPRIL; SPIRAPRIL HYDROCHLORIDE; TRANDOLAPRIL,LISINOPRIL ANHYDROUS,2,仍可探索,先核对ACE结构域和廉价酶活结果；仅在有母药直接作用支持时考虑SPR，并单独评价疾病干预方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
13,P1 前10排名且仍可探索,C384-157,oxycodone,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,2,仍可探索,先CA7酶学并与morphine比较，避免同骨架多对直接占用梯度容量。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
14,P1 前10排名且仍可探索,C384-158,methylnaltrexone,Mu-type opioid receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,2,仍可探索,先用FKBP12竞争结合验证，检测实际盐形与非特异吸附，重复效应后再考虑疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
15,P1 前10排名且仍可探索,C384-196,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,MIF — Macrophage migration inhibitory factor,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BTZO-1,2,仍可探索,测纯母药，近邻若为连接分子不转移其亲和值。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
16,P1 前10排名且仍可探索,C384-197,armodafinil,Sodium-dependent dopamine transporter,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,2,仍可探索,R实体身份一致，配体竞争与报告基因区分方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
17,P1 前10排名且仍可探索,C384-287,diltiazem,Voltage-gated L-type calcium channel,REN — Renin,ALISKIREN FUMARATE,REMIKIREN,2,仍可探索,纯化REN实验与系统反馈明确分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
18,P1 前10排名且仍可探索,C384-303,upadacitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,PRKCB — Protein kinase C beta type,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ENZASTAURIN,2,仍可探索,PRKCB与JAK功能并行确定独立作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
19,P1 前10排名且仍可探索,C384-003,carglumic acid,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,3,仍可探索,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
20,P1 前10排名且仍可探索,C384-121,diazoxide,ATP-sensitive inward rectifier potassium channel 11; ATP-sensitive inward rectifier potassium channel 8,CSF1R — Macrophage colony-stimulating factor 1 receptor,AXATILIMAB; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; SUNITINIB; SUNITINIB MALATE,DASATINIB ANHYDROUS,3,仍可探索,若保留，先确认纯CSF1R构建及激酶活性筛查，再考虑SPR；不得把纠正低血糖解释为肿瘤抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
21,P1 前10排名且仍可探索,C384-222,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,AXL — Tyrosine-protein kinase receptor UFO,GILTERITINIB; GILTERITINIB FUMARATE,STAUROSPORINE,3,仍可探索,纯母药AXL酶活；不将降解或嵌合物效力转移。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
22,P1 前10排名且仍可探索,C384-288,ixabepilone,Tubulin,CSF1R — Macrophage colony-stimulating factor 1 receptor,AXATILIMAB; PAZOPANIB HYDROCHLORIDE; PEXIDARTINIB; PEXIDARTINIB HYDROCHLORIDE; QUIZARTINIB; SUNITINIB; SUNITINIB MALATE,DASATINIB ANHYDROUS,3,仍可探索,单药CSF1R功能及实际可溶浓度确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
23,P1 前10排名且仍可探索,C384-304,esketamine,Glutamate [NMDA] receptor,GSK3A — Glycogen synthase kinase-3 alpha,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ABEMACICLIB,3,仍可探索,S体纯酶GSK3A/B测试与NMDA机制分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
