target_chembl_id,gene_symbol,uniprot_accession,target_class_l1,ot_project_assay_family,is_gpcr,chembl_kinase,ot_sm_structure_with_ligand,ot_sm_high_quality_pocket,ot_sm_med_quality_pocket,af_exact_sequence_model,p2rank_status,p2rank_tier,p2rank_top_score,p2rank_top_probability,pocket_residue_count,pocket_mean_plddt,known_unique_pocket_count,known_k1_pocket_count,known_k1_k2_pocket_count,known_drug_mapped,known_biolip2,known_biolip2_affinity,known_scpdb,known_klifs,known_gpcrdb,p2rank_top1_any_known_residue_match,p2rank_top1_any_known_center_match_4a,p2rank_top1_any_known_center_match_8a,p2rank_top1_any_known_combined_match_8a,p2rank_top1_best_known_recall,p2rank_top1_best_jaccard,p2rank_top1_minimum_center_distance,p2rank_top3_any_known_residue_match,p2rank_top3_any_known_center_match_4a,p2rank_top3_any_known_center_match_8a,p2rank_top3_any_known_combined_match_8a,p2rank_top3_best_known_recall,p2rank_top3_best_jaccard,p2rank_top3_minimum_center_distance,p2rank_all_any_known_residue_match,p2rank_all_any_known_center_match_4a,p2rank_all_any_known_center_match_8a,p2rank_all_any_known_combined_match_8a,p2rank_all_best_known_recall,p2rank_all_best_jaccard,p2rank_all_minimum_center_distance,p2rank_top1_any_k1_combined_match_8a,p2rank_top3_any_k1_combined_match_8a,p2rank_all_any_k1_combined_match_8a,p2rank_top1_any_k1_k2_combined_match_8a,p2rank_top3_any_k1_k2_combined_match_8a,p2rank_all_any_k1_k2_combined_match_8a,pdbe_raw_ligand_instance_count,pdbe_raw_unique_pdb_count
CHEMBL1628481,APLNR,P35414,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,47.86,0.964,35,94.52857142857142,79,0,20,False,True,False,False,False,True,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,True,True,True,True,1.0,0.6666666666666666,0.892351456826289,False,False,False,True,True,True,107,21
CHEMBL1832,CALCR,P30988,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,35.84,0.934,35,89.83600000000001,69,0,33,False,True,False,False,False,True,True,True,True,True,0.6666666666666666,0.5106382978723404,3.2498401560023242,True,True,True,True,0.6666666666666666,0.5106382978723404,3.2498401560023242,True,True,True,True,0.7,0.7,2.9241425033674386,False,False,False,True,True,True,71,23
CHEMBL2414,CCR4,P51679,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,44.12,0.956,38,87.4771052631579,4,0,0,False,False,False,False,False,False,True,False,True,True,0.7142857142857143,0.23809523809523808,5.9835976198827625,True,True,True,True,0.8181818181818182,0.6923076923076923,2.426859989073957,True,True,True,True,0.8181818181818182,0.6923076923076923,2.426859989073957,False,False,False,False,False,False,4,4
CHEMBL2024,FSHR,P23945,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,42.25,0.952,28,87.27928571428572,9,0,3,False,True,False,False,False,True,True,True,True,True,0.9411764705882353,0.7575757575757576,1.011801328577952,True,True,True,True,0.9411764705882353,0.7575757575757576,1.011801328577952,True,True,True,True,0.9411764705882353,0.7575757575757576,1.011801328577952,False,False,False,True,True,True,15,4
CHEMBL2346493,FZD1,Q9UP38,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,31.66,0.911,24,96.53375,0,0,0,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,,,,False,False,False,False,False,False,0,0
CHEMBL3559686,FZD2,Q14332,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,32.2,0.915,23,96.5395652173913,3,0,1,False,True,False,False,False,False,False,False,False,False,0.0,0.0,45.32825870506536,False,False,False,False,0.0,0.0,34.71576380195794,False,False,False,False,0.0,0.0,12.561705267199992,False,False,False,False,False,False,7,2
CHEMBL3559687,FZD5,Q13467,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,33.03,0.92,26,96.82384615384616,2,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,46.10155641674284,False,False,False,False,0.0,0.0,32.956067441525974,False,False,False,False,0.0,0.0,26.19052070917169,False,False,False,False,False,False,9,3
CHEMBL3559688,FZD7,O75084,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,59.02,0.981,48,95.09229166666668,14,0,1,False,True,False,False,False,False,True,False,True,True,1.0,0.2916666666666667,6.011079425391694,True,True,True,True,1.0,0.3157894736842105,3.5970548733960426,True,True,True,True,1.0,0.3157894736842105,3.5970548733960426,False,False,False,False,True,True,28,8
CHEMBL3559689,FZD8,Q9H461,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,53.11,0.97,39,94.71128205128204,2,0,0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,54.59295844360332,False,False,False,False,0.0,0.0,53.687012652270006,False,False,False,False,0.0,0.0,37.94133965445869,False,False,False,False,False,False,4,1
CHEMBL2032,GHRHR,Q02643,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,21.64,0.815,25,82.93360000000001,5,0,3,False,True,False,False,False,True,True,False,True,True,0.4473684210526316,0.3695652173913043,7.334949181941348,True,False,True,True,0.4473684210526316,0.3695652173913043,7.334949181941348,True,False,True,True,0.4473684210526316,0.375,7.078321865935301,False,False,False,True,True,True,5,3
CHEMBL4383,GIPR,P48546,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,14.69,0.649,20,87.187,12,0,12,False,True,False,False,False,True,True,False,True,True,0.42105263157894735,0.38095238095238093,6.457554829581483,True,False,True,True,0.42105263157894735,0.38095238095238093,6.457554829581483,True,False,True,True,0.42105263157894735,0.38095238095238093,6.457554829581483,False,False,False,True,True,True,8,7
CHEMBL5844,GLP2R,O95838,Membrane receptor,excluded_or_review,True,False,False,False,False,True,completed,A_HIGH_CONFIDENCE,22.84,0.833,25,88.286,1,0,1,False,False,False,False,False,True,True,False,False,True,0.4418604651162791,0.3877551020408163,10.956332961338294,True,False,False,True,0.4418604651162791,0.3877551020408163,10.956332961338294,True,False,False,True,0.4418604651162791,0.3877551020408163,10.03673727702783,False,False,False,True,True,True,0,0
CHEMBL4523925,GPRC5D,Q9NZD1,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,13.5,0.605,19,86.40789473684211,2,0,2,False,True,False,False,False,False,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,0.0,0.0,12.121741003896908,False,False,False,False,False,False,2,1
CHEMBL1854,LHCGR,P22888,Membrane receptor,excluded_or_review,True,False,True,False,False,True,completed,A_HIGH_CONFIDENCE,44.17,0.956,35,83.32457142857143,3,0,2,False,True,False,False,False,True,True,False,True,True,0.9411764705882353,0.6052631578947368,4.863681624536302,True,False,True,True,0.9411764705882353,0.6052631578947368,4.863681624536302,True,False,True,True,0.9411764705882353,0.6052631578947368,4.777727781543532,False,False,False,True,True,True,2,2
