concept,prior_work,year,primary_source,direct_collision,not_claimed,eqir_specific_difference,required_falsification,evidence_status
drug_centric_listwise_ranking,BRDTI; NeuRank,2017;2021,https://doi.org/10.1016/j.cmpb.2017.09.003; https://pmc.ncbi.nlm.nih.gov/articles/PMC8620576/,Direct collision with claiming listwise target ranking as new,Drug-centric or listwise ranking is not new and is only an auxiliary loss.,"The candidate estimand is the incremental value of qualified structure evidence after a frozen cross-fitted nonstructural offset, under both query directions.",FULL_EQIR_WITHOUT_DRUG_QUERY_LOSS and FULL_EQIR_WITHOUT_TARGET_QUERY_LOSS; both grouped directional bootstraps and within-drug permutation gate.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
confidence_aware_multimodal_fusion,DrugCMF,2026,https://doi.org/10.1609/aaai.v40i32.39972,Direct collision with generic reliability gating,Confidence-aware 1D/3D fusion is not claimed.,Qualification is a deterministic label-independent receptor/QC predicate; the optional branch may only fit cross-fitted residuals and cannot relearn the full label.,Compare full EQIR with no qualification and with no residualization under identical frozen base predictions.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
structure_confidence_fusion,ConfDTI,2026,https://doi.org/10.1021/acs.jcim.6c01036,Collision with confidence-weighted predicted-structure branch,Structure-quality weighting or pLDDT-guided fusion is not claimed.,Experimental evidence availability controls whether a residual increment is legally defined; quality does not supply a generic learned fusion weight.,Qualification-independence audit plus target-QC-feature ablation and exact fallback equality test.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
target_prior_causal_debiasing,TAPB,2025,https://doi.org/10.1038/s41467-025-66915-1,Direct collision with generic target-prior debiasing,Generic target-prior or causal debiasing is not claimed.,EQIR does not estimate a causal target-prior intervention; it asks whether target-local structural evidence explains held-out residual interaction signal beyond a frozen base.,"Within-target and within-drug score-permutation nulls, macro-directional paired bootstrap, and no-residualization ablation.",CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
mutual_molecule_protein_retrieval_and_optimal_transport,KGOT,2026,https://openreview.net/forum?id=UoYdZQIZWj,Collision with Sinkhorn or OT bidirectional retrieval as standalone novelty,Mutual retrieval and optimal transport are not claimed; EQIR uses no OT pseudo-labeling.,The two query directions constrain the incremental residual value rather than define a new retrieval architecture.,Remove each query loss separately; require structure increment to retain both directional gains versus the nonnovel blend.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
cold_start_relational_sequence_alignment,CrossLinker,2026,https://doi.org/10.1021/acs.jcim.5c03216,Collision with generic cold-start multimodal alignment,Cold-start alignment is not claimed as a new mechanism.,"Scaffold and homology cold axes are identification and stress-test axes for the qualified residual, not the source of novelty.",Both target-homology-cluster and drug-scaffold bootstrap lower bounds must exceed zero.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
structure_as_privileged_training_information,LUPI protein binding affinity,2018,https://pubmed.ncbi.nlm.nih.gov/30442086/,Collision with claiming optional structure assistance and sequence fallback as new,Optional structure with sequence fallback is not claimed by itself.,"When qualification is zero, the final logit is definitionally and bitwise the frozen base; when one, structure can only explain a cross-fitted pseudo-residual.",Bitwise exact fallback audit and BASE_PLUS_RESIDUAL_WITHOUT_EXACT_FALLBACK_CONSTRAINT ablation.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
pocket_detection_and_structure_fusion,EMPDTA; PocketDTA; PHGDTI,2024;2024;2026,https://doi.org/10.3390/molecules29122912; https://doi.org/10.1093/bioinformatics/btae594; https://doi.org/10.1177/15578666261469586,Direct collision with a generic pocket branch or structure graph encoder,"Pocket detection, pocket encoding, or atom-residue fusion is not claimed.",The method consumes a frozen strict experimental-pocket protocol and studies incremental evidence value; it does not propose a pocket encoder.,Receptor/hash/redocking qualification audit; pocket/QC inputs cannot read current-fold interaction labels.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
missing_not_at_random_dti_labels,FNML,2019,https://doi.org/10.1109/TNB.2019.2909293,Collision with generic MNAR wording,MNAR interaction-label learning is not claimed.,"The missing object is structural evidence observation, not an unobserved DTI label; missing evidence forces an exact base estimand rather than an imputed negative.",Verify all missing or failed structure routes have a(t)=0 and zero logit delta; never encode absence as y=0.,CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
nonhomologous_pocket_target_fishing,Pocket Hopping,2026,https://doi.org/10.1021/acs.jmedchem.6c01050,Collision with claiming nonhomologous new-target discovery as a method novelty,"Nonhomologous pocket hopping is an application, not the algorithm claim.",Any novel-target case is supported only if the same frozen qualified-residual mechanism generalizes under homology-cold evaluation.,"Homology-cluster bootstrap, locked S3 confirmation, and separate new-target application audit.",CANDIDATE_DIFFERENTIAL_FROZEN_NOT_VALIDATED
