pair_id,record_id,endpoint,publication_date,bindingdb_date,doi
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,15299:Ki,Ki,2005-03-24,2006-05-02,10.1021/jm049510k
ADEBPBSSDYVVLD-UHFFFAOYSA-N__CHEMBL220,18638:Ki,Ki,2003-06-05,2006-09-12,10.1021/jm0340602
GZUITABIAKMVPG-UHFFFAOYSA-N__CHEMBL206,36133:Ki,Ki,2005-11-03,2008-01-15,10.1021/jm050723z
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL325,40723:Ki,Ki,2008-05-22,2008-05-30,10.1021/jm7015254
WAEXFXRVDQXREF-UHFFFAOYSA-N__CHEMBL1865,40726:Ki,Ki,2008-05-22,2008-05-30,10.1021/jm7015254
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3024,45441:Ki,Ki,2007-08-21,2008-10-27,10.1021/bi7008745
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL205,46822:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3729,46842:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3729,46848:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL2326,46881:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
JZUFKLXOESDKRF-UHFFFAOYSA-N__CHEMBL3242,46889:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
MAEIEVLCKWDQJH-UHFFFAOYSA-N__CHEMBL3242,46895:Ki,Ki,2008-04-15,2008-12-05,10.1016/j.bmcl.2008.03.051
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,47427:Kd,Kd,2007-03-28,2008-12-18,10.1016/j.ccr.2006.12.017
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,47433:Kd,Kd,2008-02-12,2008-12-15,10.1073/pnas.0709662105
RTHCYVBBDHJXIQ-UHFFFAOYSA-N__CHEMBL222,54793:Ki,Ki,2009-03-26,2009-07-05,10.1021/jm8010993
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL3935,55993:Kd,Kd,2008-11-21,2009-08-14,
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL5147,59289:Kd,Kd,2008-11-21,2009-08-14,
KTUFNOKKBVMGRW-UHFFFAOYSA-N__CHEMBL2007,64896:Kd,Kd,2008-11-21,2011-04-21,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL4128,65238:Kd,Kd,2008-11-21,2011-04-22,
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL2815,65247:Kd,Kd,2008-11-21,2011-04-22,
MLDQJTXFUGDVEO-UHFFFAOYSA-N__CHEMBL279,65286:Kd,Kd,2008-11-21,2011-04-22,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5145,65339:Kd,Kd,2008-11-21,2011-04-22,
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL5145,65348:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65384:Kd,Kd,2008-11-21,2011-04-22,
UHTHHESEBZOYNR-UHFFFAOYSA-N__CHEMBL203,65391:Kd,Kd,2008-11-21,2011-04-22,
XGALLCVXEZPNRQ-UHFFFAOYSA-N__CHEMBL203,65401:Kd,Kd,2008-11-21,2011-04-22,
