target_chembl_id,gene_symbol,uniprot_accession,target_class_zh,assay_lane,target_calibration_tier,positive_compounds,negative_compounds,panel_quota_per_class,positive_pool,primary_negative_pool,all_negative_pool,panel_quality,selected_positive,selected_negative,development_rows,locked_evaluation_rows,gnina_gate_b_remote_positive_rows,gnina_gate_a_formally_evaluable,gnina_gate_a_auroc_primary_cnn_affinity,gnina_gate_a_average_precision_primary_cnn_affinity,gnina_gate_a_bedroc_alpha20_primary_cnn_affinity,gnina_gate_a_ef_5pct,gnina_gate_a_bootstrap_auroc_ci_low,gnina_gate_a_bootstrap_auroc_ci_high,gnina_gate_a_permutation_bh_q,gnina_gate_a_primary_gate_pass,gnina_gate_a_primary_gate_strong,gnina_gate_b_formally_evaluable,gnina_gate_b_auroc_primary_cnn_affinity,gnina_gate_b_average_precision_primary_cnn_affinity,gnina_gate_b_bedroc_alpha20_primary_cnn_affinity,gnina_gate_b_ef_5pct,gnina_gate_b_bootstrap_auroc_ci_low,gnina_gate_b_bootstrap_auroc_ci_high,gnina_gate_b_permutation_bh_q,gnina_gate_b_primary_gate_pass,gnina_gate_b_primary_gate_strong,gnina_target_qualification,gnina_use_policy,gate_a_scope,gate_a_rows,gate_a_positive,gate_a_negative,gate_a_formally_evaluable,gate_a_auroc_affinity_probability_binary,gate_a_average_precision_affinity_probability_binary,gate_a_auroc_secondary_ligand_iptm,gate_a_average_precision_secondary_ligand_iptm,gate_a_bedroc_alpha20_affinity_probability_binary,gate_a_bootstrap_auroc_ci_low,gate_a_bootstrap_auroc_ci_high,gate_a_permutation_p_one_sided,gate_a_ef_5pct,gate_a_permutation_bh_q,gate_a_primary_gate_pass_raw,gate_a_gate_a_dependency_pass,gate_a_primary_gate_pass,gate_a_primary_gate_strong,gate_b_scope,gate_b_rows,gate_b_positive,gate_b_negative,gate_b_formally_evaluable,gate_b_auroc_affinity_probability_binary,gate_b_average_precision_affinity_probability_binary,gate_b_auroc_secondary_ligand_iptm,gate_b_average_precision_secondary_ligand_iptm,gate_b_bedroc_alpha20_affinity_probability_binary,gate_b_bootstrap_auroc_ci_low,gate_b_bootstrap_auroc_ci_high,gate_b_permutation_p_one_sided,gate_b_ef_5pct,gate_b_permutation_bh_q,gate_b_primary_gate_pass_raw,gate_b_gate_a_dependency_pass,gate_b_primary_gate_pass,gate_b_primary_gate_strong,development_positive_n,development_negative_n,development_positive_q25,development_positive_median,development_negative_q90,development_negative_q95,development_negative_q99,boltz_target_qualification,boltz_use_policy,final_audit_status,redock_status_final,redock_best_symmetry_rmsd_A_final,pdb_id,target_chain_id,alternate_structure_used,docking_context_included,usable_experimental_pocket_instances,usable_experimental_pdbs,alternate_experimental_pdb_count,target_route,target_route_zh,qualified_models,allowed_scope_zh,next_compute_action_zh,target_route_priority,01_STRICT_AB_DISCOVERY_CORE,02_STRICT_C_DISCOVERY_RESERVE,03_LOCAL_ANALOG_BASELINE,04_RECEPTOR_PROTOCOL_REVIEW_AB,05_RECEPTOR_PROTOCOL_REVIEW_C,06_IN_DOMAIN_BELOW_BACKGROUND,07_OUT_OF_DOMAIN_EXPLORATORY,08_KNOWN_CONTROL_CALIBRATION_ONLY,09_TECHNICAL_INCOMPLETE,strict_boltz_abc_pairs,receptor_review_abc_pairs,strict_gnina_abc_pairs,P1_DUAL_STRUCTURE_SUPPORT,P2_BOLTZ_SUPPORT_GNINA_DISAGREES,P3_GNINA_SUPPORT_BOLTZ_DISAGREES,P4_BOLTZ_ONLY_APPLICABLE,P5_GNINA_ONLY_APPLICABLE,physical_union_pairs,urgent_receptor_repair,task_code,diagnostic_scope
CHEMBL3004,ABCC1,P33527,转运体,TRANSPORTER_MEMBRANE_FUNCTIONAL,T1_RICH_POSITIVE_NEGATIVE,55,384,32,94.0,101.0,415.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,7.0,True,0.609375,0.5835984282530335,0.2655328219885407,0.0,0.4041666666666667,0.8052038239538238,0.2929385345952392,False,False,True,0.3877551020408163,0.477045177045177,0.0566121604277389,0.0,0.0888888888888888,0.7333333333333334,0.9262193857524792,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.609375,0.628652269106023,0.42578125,0.4898938544796865,0.6886072535185043,0.373015873015873,0.8016648065476191,0.1549225387306347,1.0,0.250991822524492,False,False,False,False,GATE_B,14.0,7.0,7.0,True,0.6734693877551021,0.7472789115646259,0.5714285714285714,0.7023809523809523,0.9538209481777996,0.3469387755102041,0.9583333333333331,0.1374312843578211,2.0,0.2916480690952234,False,False,False,False,16.0,16.0,0.3652966320514679,0.4640090614557266,0.5356677174568176,0.5510776191949844,0.5760778456926345,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,2.2406,2cbz,A,,True,9,4,3,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL220,ACHE,P22303,酶（非激酶）,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,2363,1538,32,2302.0,1667.0,2215.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,10.0,True,0.59765625,0.6369201941494442,0.7741830320171936,2.0,0.3803141711229946,0.7968923962550606,0.3157041794255528,False,False,True,0.64,0.6458061383061382,0.7337827998211878,2.0,0.3737272727272727,0.8787878787878788,0.4537478867862791,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.36328125,0.4405606982877399,0.53515625,0.5436483489204456,0.2935359784657336,0.1739035087719298,0.5844536323051949,0.9100449775112444,1.0,0.9810893809600776,False,False,False,False,GATE_B,20.0,10.0,10.0,True,0.37,0.4438000449842555,0.49,0.5290950226244344,0.0978942786035226,0.1211818181818181,0.6458333333333334,0.8190904547726137,0.0,0.9320157734897734,False,False,False,False,16.0,16.0,0.5082404017448425,0.5992266833782196,0.6654986143112183,0.6903892457485199,0.7426818072795868,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.148,4ey5,B,,False,509,76,75,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL3720,ACLY,P53396,酶（非激酶）,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,73,432,32,125.0,439.0,440.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,4.0,True,0.58984375,0.6423701721540878,0.8115199261426905,2.0,0.3764338235294117,0.7738392857142856,0.3390764884997684,False,False,True,0.3125,0.475,0.0753536127746236,0.0,0.0,0.8125,0.9480254391599556,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.4296875,0.4829324572840895,0.4375,0.4991824263404802,0.307879630945049,0.2348067434210526,0.650054347826087,0.7496251874062968,1.0,0.880126738250308,False,False,False,False,GATE_B,8.0,4.0,4.0,True,0.3125,0.475,0.125,0.3988095238095238,0.0753536127746236,0.0,0.8333333333333334,0.8280859570214892,0.0,0.9320157734897734,False,False,False,False,16.0,16.0,0.6640999019145966,0.7014108896255493,0.7833414375782013,0.807017132639885,0.8079091638326645,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,1.5285,3pff,A,,True,341,33,32,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL3201,AHR,P35869,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,T1_RICH_POSITIVE_NEGATIVE,52,52,16,52.0,17.0,49.0,PRIMARY_QUANTITATIVE,16.0,16.0,16.0,16.0,7.0,True,0.59375,0.6141826923076923,0.2846688515330772,0.0,0.28125,0.8910321969696963,0.4341987158123931,False,False,True,0.6326530612244898,0.6322261072261072,0.2388718594891028,0.0,0.3,0.9183673469387754,0.5071476270783579,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,16.0,8.0,8.0,True,0.4375,0.5181089743589744,0.53125,0.6582799145299145,0.2273607534363896,0.126984126984127,0.75,0.7106446776611695,0.0,0.8515989938914841,False,False,False,False,GATE_B,14.0,7.0,7.0,True,0.3877551020408163,0.4935064935064934,0.5102040816326531,0.6446410732125016,0.19516661450256,0.0814668367346938,0.7250568181818181,0.736631684157921,0.0,0.8751436247688121,False,False,False,False,8.0,8.0,0.5980240404605865,0.6044838428497314,0.6539632439613342,0.6565780818462372,0.6586699521541596,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.9369,8qmo,D,,False,3,3,2,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL1900,AKR1B1,P15121,酶（非激酶）,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,253,102,32,257.0,116.0,123.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,10.0,True,0.5078125,0.6257969368453649,0.9208108559894106,2.0,0.2941176470588235,0.7137254901960784,0.624006929383354,False,False,True,0.5599999999999999,0.6793332596196373,0.9524768517208172,2.0,0.2828282828282829,0.8181818181818181,0.6322035592881424,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.56640625,0.5286107536786885,0.5078125,0.576870894206087,0.1738218466031999,0.3665277777777778,0.7804136029411765,0.2623688155922039,0.0,0.3901895206243032,False,False,False,False,GATE_B,20.0,10.0,10.0,True,0.47,0.4852000287294404,0.54,0.6403666216824111,0.0922082205596667,0.1866428571428571,0.75,0.6016991504247876,0.0,0.7805957486373092,False,False,False,False,16.0,16.0,0.6898020505905151,0.747005045413971,0.8165176510810852,0.8548866361379623,0.9172912329435348,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,1.3812,2fzb,A,,True,442,176,175,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL4282,AKT1,P31749,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1475,584,32,1480.0,516.0,728.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,7.0,True,0.63671875,0.7284888916936221,0.9405848536803024,2.0,0.420828373015873,0.8353443043884218,0.2268691423005721,False,False,True,0.2653061224489795,0.4966854573997431,0.7605536754859065,2.0,0.0,0.5833333333333333,0.9989220262943296,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.54296875,0.5335420240022167,0.484375,0.5211633363868895,0.3098887875514751,0.345,0.75,0.3263368315842079,1.0,0.4661954736917256,False,False,False,False,GATE_B,14.0,7.0,7.0,True,0.4081632653061224,0.4832722832722832,0.4489795918367347,0.5128427128427128,0.1853093053297525,0.0833333333333333,0.7292708333333333,0.7251374312843578,0.0,0.8689146805907391,False,False,False,False,16.0,16.0,0.4439903870224952,0.5243787467479706,0.6950885653495789,0.7440562695264816,0.7755542367696762,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.5361,4ekl,A,,False,68,38,37,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL1935,ALDH2,P05091,酶（非激酶）,ENZYME_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,69,70,32,68.0,33.0,96.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,6.0,True,0.6875,0.6991726030899459,0.7449858193071632,1.0,0.4977425515660809,0.8614975649350648,0.1261978373556058,False,False,True,0.5833333333333334,0.5541666666666666,0.0355936308393429,0.0,0.1714285714285714,0.9714285714285716,0.6271050137798527,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.37890625,0.5179744529124457,0.59375,0.6762682044795216,0.7360054031536964,0.1860569985569986,0.5990381297446514,0.8910544727636182,2.0,0.9801678108314263,False,False,False,False,GATE_B,12.0,6.0,6.0,True,0.3333333333333333,0.4712602212602212,0.5555555555555556,0.6438492063492063,0.1586741264822525,0.0,0.71875,0.8340829585207397,0.0,0.9349800905998614,False,False,False,False,16.0,16.0,0.6927972286939621,0.7326631546020508,0.7583768367767334,0.7717985957860947,0.77905955016613,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.7122,2vle,D,,False,408,26,25,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL3687,ALOX12,P18054,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,29,33,16,28.0,111.0,122.0,PRIMARY_QUANTITATIVE,16.0,16.0,16.0,16.0,1.0,True,0.625,0.699599358974359,0.9242840665150188,2.0,0.3333333333333333,0.9166666666666666,0.3526183652158457,False,False,False,0.0,0.5,6.776878889750501e-21,0.0,0.0,0.0,1.0,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,16.0,8.0,8.0,True,0.734375,0.7349587912087913,0.453125,0.5080544455544456,0.7941851245215914,0.4602678571428571,0.9682539682539684,0.0709645177411294,2.0,0.1302513300311869,False,False,False,False,GATE_B,2.0,1.0,1.0,False,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.4817591204397801,2.0,0.7086860610098991,False,False,False,False,8.0,8.0,0.5653293803334236,0.630018949508667,0.8361577093601227,0.8554510623216629,0.8708857446908951,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,1.5215,8ghd,D,,True,23,5,4,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL5619,APEX1,P27695,酶（非激酶）,ENZYME_BIOCHEMICAL,T2_ADEQUATE_POSITIVE_NEGATIVE,26,81,16,24.0,199.0,201.0,PRIMARY_QUANTITATIVE,16.0,16.0,16.0,16.0,8.0,True,0.25,0.4516483516483516,0.2629989911399063,0.0,0.0,0.5641666666666663,0.9733000369623044,False,False,True,0.25,0.4516483516483516,0.2629989911399063,0.0,0.0,0.5555555555555556,1.0,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,16.0,8.0,8.0,True,0.640625,0.6264204545454545,0.53125,0.5492521367521367,0.2812724787899953,0.3272727272727273,0.9092803030303028,0.1814092953523238,0.0,0.2859168241965973,False,False,False,False,GATE_B,16.0,8.0,8.0,True,0.640625,0.6264204545454545,0.53125,0.5492521367521367,0.2812724787899953,0.328125,0.9365079365079364,0.1869065467266366,0.0,0.3534695237415305,False,False,False,False,8.0,8.0,0.5302541106939316,0.6071858108043671,0.6145343005657196,0.6817316621541976,0.7354895514249801,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.2276,7tc2,D,,False,111,41,40,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL1871,AR,P10275,核内/表观遗传蛋白,NUCLEAR_EPIGENETIC_DOMAIN,T1_RICH_POSITIVE_NEGATIVE,1551,471,32,1549.0,417.0,753.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,6.0,True,0.6640625,0.6314924379666227,0.4526295080256678,1.0,0.45,0.8571428571428572,0.1584443980769063,False,False,True,0.75,0.8152777777777778,0.993509036579292,2.0,0.4285714285714286,1.0,0.3225082256276017,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,31.0,15.0,16.0,True,0.4,0.4191163785940973,0.7666666666666667,0.7514982687563333,0.0241350555273839,0.1890078304048892,0.6250548245614035,0.8390804597701149,0.0,0.9395109395109394,False,False,False,False,GATE_B,11.0,5.0,6.0,True,0.2666666666666666,0.3821789321789321,0.8666666666666667,0.81,0.0036749273353339,0.0,0.6666666666666666,0.9045477261369316,0.0,0.9709045091353938,False,False,False,False,16.0,16.0,0.2659133821725845,0.3410356193780899,0.5707333385944366,0.6171461045742035,0.6533725917339325,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.3027,2pix,A,,False,182,94,93,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
CHEMBL2185,AURKB,Q96GD4,激酶,KINASE_BIOCHEMICAL,T1_RICH_POSITIVE_NEGATIVE,1124,457,32,1331.0,516.0,678.0,PRIMARY_QUANTITATIVE,32.0,32.0,32.0,32.0,16.0,True,0.36328125,0.5277207340551127,0.7871314060606998,2.0,0.1626934523809523,0.5833578431372547,0.950068125909702,False,False,True,0.36328125,0.5277207340551127,0.7871314060606998,2.0,0.1625,0.5708646616541353,0.9935376941348132,False,False,GATE_A_FAIL,DO_NOT_USE_GNINA_FOR_DISCOVERY_SELECTION,GATE_A,32.0,16.0,16.0,True,0.61328125,0.699836692578628,0.4765625,0.5905934611597153,0.9115131768439244,0.4129490392648287,0.8235466452205882,0.1489255372313843,2.0,0.2426314932421429,False,False,False,False,GATE_B,32.0,16.0,16.0,True,0.61328125,0.699836692578628,0.4765625,0.5905934611597153,0.9115131768439244,0.3928273809523809,0.8235466452205883,0.1299350324837581,2.0,0.2799984623073078,False,False,False,False,16.0,16.0,0.8058150410652161,0.8826198279857635,0.7505526542663574,0.8466868698596954,0.8808152258396148,BOLTZ_GATE_A_FAIL,DO_NOT_USE_BOLTZ_FOR_DISCOVERY_SELECTION,FROZEN_PASS,PASS,0.9435,4af3,A,,False,1,1,0,E5_NO_MODEL_QUALIFICATION,当前模型未取得资格,NONE,停止同协议扩筛；先诊断历史对照与结构状态,检查标签、阴性、构象和口袋；不追加同协议pair筛选,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,False,C0_GATE_FAILURE_DIAGNOSTIC,control labels; property separability; receptor state; pocket; model direction
