run_id,stage,track,arm,view,architecture,loss,variant,seed,feature_set,train_members,validation_members,test_members,status,requires,output_dir,test_use,disposition
E2_B_scaffold_replay_global_mlp_binary_default_s101,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_default_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_default_s202,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_default_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_default_s303,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_default_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_rank_default_s101,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_rank,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_rank_default_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_rank_default_s202,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_rank,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_rank_default_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_rank_default_s303,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_rank,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_rank_default_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_regression_default_s101,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_regression,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_regression_default_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_regression_default_s202,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_regression,default,202,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_regression_default_s202,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_regression_default_s303,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_regression,default,303,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_regression_default_s303,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
E2_B_scaffold_replay_global_mlp_binary_both_default_s101,E2,controlled_fresh_training,B,scaffold_replay,global_mlp,binary_both,default,101,bermol+esm2_dtiam,data/research/dti_reliability_20260920_v1/B_scaffold_replay_train.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_validation.parquet,data/research/dti_reliability_20260920_v1/B_scaffold_replay_test.parquet,PLANNED_NOT_STARTED,Controlled trainer + data preflight + resource profile,outputs/dti_reliability_runs_20260920/E2_B_scaffold_replay_global_mlp_binary_both_default_s101,"Final report only, no model selection",DEFERRED_BY_A_ONLY_USER_SCOPE
