review_id,drug_chembl_id,drug_name,target_gene,target_name,direction,direction_zh,candidate_diseases_zh,mechanism_hypothesis_zh,disease_fit_level,target_engagement_feasibility,primary_assay_zh,counterscreen_zh,go_no_go_zh,novelty_interpretation_zh,major_risks_zh,priority_bucket_auto,assay_lane,conplex_score,rank_within_drug,review_priority_score,broad_mechanism_score,open_targets_score,txgnn_indication_score,string_context_score,tissue_context_score,creeds_total_signature_count,reactome_mechanism_keywords,creeds_matched_disease_names,literature_status,same_target_family_as_known,same_label_direction,exact_known_target_by_profile_or_control,agent_review_status
strict895_0001,CHEMBL4303220,Difluprednate,KRAS,GTPase KRas,dermatology,皮肤,CREEDS 相关签名：melanoma；方向候选：银屑病、特应性皮炎、痤疮/角化异常、皮肤炎症或屏障模型,"Difluprednate 可能作用于 KRAS（GTPase KRas），在皮肤方向的假说为调节 RTK/MAPK/PI3K signaling；immune/inflammation signaling；epigenetic/transcription；证据组合：ConPLEx=0.356/rank9, OT=0.92, TxGNN=0.97, STRING=0.33, tissue=1.00。",高,高,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛 阳性或主 readout 无剂量依赖。,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,enzyme_or_epigenetic_biochemical,0.35577512,9,104.962,0.898118,0.917165318387881,0.9730347990989684,0.3278321466012858,1.0,1,RTK/MAPK/PI3K signaling; immune/inflammation signaling; epigenetic/transcription,melanoma,not_audited_in_local_literature_table,False,False,False,first_pass_ready_for_chunk_agent
strict895_0002,CHEMBL2364608__DORAVIRINE,Doravirine,AR,Androgen receptor,oncology,肿瘤,靶点提示：前列腺癌、乳腺癌、雄激素相关皮肤/生殖疾病；CREEDS 相关签名：breast cancer；gastrointestinal stromal tumor；prostate cancer；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine 可能作用于 AR（Androgen receptor），在肿瘤方向的假说为调节 metabolism/mitochondria；epigenetic/transcription；证据组合：ConPLEx=0.526/rank8, OT=0.89, TxGNN=0.94, STRING=0.35, tissue=1.00。",高,中高,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性 阳性或主 readout 无剂量依赖。,本地/在线 PubMed 共现层面较干净，适合 novelty review,gene symbol/缩写可能产生文献或检索歧义；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响,P1_priority_manual_review,nuclear_receptor_or_tf_reporter,0.52607393,8,104.927,0.896353,0.8907381973099375,0.9405941367149352,0.3455028078957852,1.0,5,metabolism/mitochondria; epigenetic/transcription,breast cancer; gastrointestinal stromal tumor; prostate cancer; serous cystadenocarcinoma,unreported_in_local_pubmed_audit,False,False,False,first_pass_ready_for_chunk_agent
strict895_0003,CHEMBL2364608,Doravirine And Islatravir,AR,Androgen receptor,oncology,肿瘤,靶点提示：前列腺癌、乳腺癌、雄激素相关皮肤/生殖疾病；CREEDS 相关签名：breast cancer；gastrointestinal stromal tumor；prostate cancer；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine And Islatravir 可能作用于 AR（Androgen receptor），在肿瘤方向的假说为调节 metabolism/mitochondria；epigenetic/transcription；证据组合：ConPLEx=0.526/rank8, OT=0.89, TxGNN=0.94, STRING=0.35, tissue=1.00。",高,中高,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性 阳性或主 readout 无剂量依赖。,本地/在线 PubMed 共现层面较干净，适合 novelty review,gene symbol/缩写可能产生文献或检索歧义；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响,P1_priority_manual_review,nuclear_receptor_or_tf_reporter,0.52607393,8,104.927,0.896353,0.8907381973099375,0.9405941367149352,0.3455028078957852,1.0,5,metabolism/mitochondria; epigenetic/transcription,breast cancer; gastrointestinal stromal tumor; prostate cancer; serous cystadenocarcinoma,unreported_in_local_pubmed_audit,False,False,False,first_pass_ready_for_chunk_agent
strict895_0004,CHEMBL3127326,Ombitasvir,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",oncology,肿瘤,CREEDS 相关签名：acute myeloid leukemia；breast cancer；chronic myeloid leukemia；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Ombitasvir 可能作用于 IDH2（Isocitrate dehydrogenase [NADP], mitochondrial），在肿瘤方向的假说为调节 metabolism/mitochondria；epigenetic/transcription；transport/homeostasis；证据组合：ConPLEx=0.322/rank1, OT=0.84, TxGNN=0.88, STRING=0.32, tissue=1.00。",高,高,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛 阳性或主 readout 无剂量依赖。,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,enzyme_or_epigenetic_biochemical,0.32210785,1,104.84,0.891995,0.8373069697246522,0.8805067539215088,0.3236908196191728,1.0,11,metabolism/mitochondria; epigenetic/transcription; transport/homeostasis,acute myeloid leukemia; breast cancer; chronic myeloid leukemia; colon cancer; hepatocellular carcinoma; multiple myeloma; retinoblastoma; thymic carcinoma,not_audited_in_local_literature_table,False,False,False,first_pass_ready_for_chunk_agent
strict895_0005,CHEMBL2364608__DORAVIRINE,Doravirine,KRAS,GTPase KRas,oncology,肿瘤,CREEDS 相关签名：colon cancer；melanoma；testicular cancer；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine 可能作用于 KRAS（GTPase KRas），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；immune/inflammation signaling；epigenetic/transcription；证据组合：ConPLEx=0.422/rank23, OT=0.93, TxGNN=0.94, STRING=0.34, tissue=1.00。",高,高,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛 阳性或主 readout 无剂量依赖。,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,enzyme_or_epigenetic_biochemical,0.421641,23,104.787,0.889352,0.9264404220656652,0.9405941367149352,0.3391807986119489,1.0,3,RTK/MAPK/PI3K signaling; immune/inflammation signaling; epigenetic/transcription,colon cancer; melanoma; testicular cancer,not_audited_in_local_literature_table,False,False,False,first_pass_ready_for_chunk_agent
strict895_0006,CHEMBL2364608,Doravirine And Islatravir,KRAS,GTPase KRas,oncology,肿瘤,CREEDS 相关签名：colon cancer；melanoma；testicular cancer；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine And Islatravir 可能作用于 KRAS（GTPase KRas），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；immune/inflammation signaling；epigenetic/transcription；证据组合：ConPLEx=0.422/rank23, OT=0.93, TxGNN=0.94, STRING=0.34, tissue=1.00。",高,高,优先纯化蛋白酶活/热转移/DSF/CETSA；若是表观遗传酶可加底物修饰 readout,同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同酶家族选择性、PAINS/聚集体、还原/螯合/荧光干扰反筛 阳性或主 readout 无剂量依赖。,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,enzyme_or_epigenetic_biochemical,0.421641,23,104.787,0.889352,0.9264404220656652,0.9405941367149352,0.3391807986119489,1.0,3,RTK/MAPK/PI3K signaling; immune/inflammation signaling; epigenetic/transcription,colon cancer; melanoma; testicular cancer,not_audited_in_local_literature_table,False,False,False,first_pass_ready_for_chunk_agent
strict895_0007,CHEMBL885,Emtricitabine,CDK4,Cyclin-dependent kinase 4,oncology,肿瘤,靶点提示：HR+ 乳腺癌、脂肪肉瘤、细胞周期依赖肿瘤；CREEDS 相关签名：Nicotine addiction；Vulvar intraepithelial tumor；astrocytoma；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Emtricitabine 可能作用于 CDK4（Cyclin-dependent kinase 4），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；immune/inflammation signaling；epigenetic/transcription；cell cycle/dna repair；证据组合：ConPLEx=0.546/rank4, OT=0.84, TxGNN=0.63, STRING=0.35, tissue=1.00。",高,高,优先 kinase biochemical IC50/Kd 或 ADP-Glo/迁移率法；细胞层面用 phospho-substrate/target engagement 验证,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛 阳性或主 readout 无剂量依赖。,本地/在线 PubMed 共现层面较干净，适合 novelty review,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,kinase_biochemical_cellular,0.5462819,4,104.751,0.887554,0.8402650853064281,0.6275039911270142,0.3464714351924814,1.0,34,RTK/MAPK/PI3K signaling; immune/inflammation signaling; epigenetic/transcription; cell cycle/dna repair,Nicotine addiction; Vulvar intraepithelial tumor; astrocytoma; breast adenocarcinoma; breast cancer; cervical cancer; chronic myeloid leukemia; colon cancer; colorectal adenocarcinoma; colorectal cancer; esophagus adenocarcinoma; esophagus squamous cell carcinoma,unreported_in_local_pubmed_audit,False,False,False,first_pass_ready_for_chunk_agent
strict895_0008,CHEMBL1628504,Rilpivirine Hydrochloride,CDK4,Cyclin-dependent kinase 4,oncology,肿瘤,靶点提示：HR+ 乳腺癌、脂肪肉瘤、细胞周期依赖肿瘤；CREEDS 相关签名：Nicotine addiction；Vulvar intraepithelial tumor；astrocytoma；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Rilpivirine Hydrochloride 可能作用于 CDK4（Cyclin-dependent kinase 4），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；immune/inflammation signaling；epigenetic/transcription；cell cycle/dna repair；证据组合：ConPLEx=0.364/rank46, OT=0.84, TxGNN=0.75, STRING=0.35, tissue=1.00。",高,高,优先 kinase biochemical IC50/Kd 或 ADP-Glo/迁移率法；细胞层面用 phospho-substrate/target engagement 验证,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛 阳性或主 readout 无剂量依赖。,文献状态未充分审计，需人工排重,主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化,P1_priority_manual_review,kinase_biochemical_cellular,0.36350212,46,104.666,0.883315,0.8402650853064281,0.7467787861824036,0.3464714351924814,1.0,34,RTK/MAPK/PI3K signaling; immune/inflammation signaling; epigenetic/transcription; cell cycle/dna repair,Nicotine addiction; Vulvar intraepithelial tumor; astrocytoma; breast adenocarcinoma; breast cancer; cervical cancer; chronic myeloid leukemia; colon cancer; colorectal adenocarcinoma; colorectal cancer; esophagus adenocarcinoma; esophagus squamous cell carcinoma,not_audited_in_local_literature_table,False,False,False,first_pass_ready_for_chunk_agent
strict895_0009,CHEMBL2364608__DORAVIRINE,Doravirine,ESR1,Estrogen receptor,oncology,肿瘤,靶点提示：ER+ 乳腺癌、子宫内膜疾病、骨代谢/绝经相关疾病；CREEDS 相关签名：breast cancer；cervix carcinoma；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine 可能作用于 ESR1（Estrogen receptor），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；metabolism/mitochondria；epigenetic/transcription；证据组合：ConPLEx=0.533/rank7, OT=0.87, TxGNN=0.94, STRING=0.34, tissue=0.79。",高,中高,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性 阳性或主 readout 无剂量依赖。,本地/在线 PubMed 共现层面较干净，适合 novelty review,reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响,P1_priority_manual_review,nuclear_receptor_or_tf_reporter,0.53315145,7,104.341,0.867041,0.8729726899119736,0.9405941367149352,0.3430770108493755,0.7901670000000001,3,RTK/MAPK/PI3K signaling; metabolism/mitochondria; epigenetic/transcription,breast cancer; cervix carcinoma,unreported_in_local_pubmed_audit,False,False,False,first_pass_ready_for_chunk_agent
strict895_0010,CHEMBL2364608,Doravirine And Islatravir,ESR1,Estrogen receptor,oncology,肿瘤,靶点提示：ER+ 乳腺癌、子宫内膜疾病、骨代谢/绝经相关疾病；CREEDS 相关签名：breast cancer；cervix carcinoma；方向候选：实体瘤/血液肿瘤；优先按靶点落到乳腺癌、肺癌、前列腺癌、白血病/淋巴瘤等具体模型,"Doravirine And Islatravir 可能作用于 ESR1（Estrogen receptor），在肿瘤方向的假说为调节 RTK/MAPK/PI3K signaling；metabolism/mitochondria；epigenetic/transcription；证据组合：ConPLEx=0.533/rank7, OT=0.87, TxGNN=0.94, STRING=0.34, tissue=0.79。",高,中高,优先 reporter assay、cofactor recruitment、CETSA/target engagement；必要时加 qPCR 下游靶基因,广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性,Go：剂量依赖 target engagement 或功能 readout 可重复，且细胞活性窗口内反筛不能解释主效应；No-go：广谱转录抑制/激活、细胞毒性、荧光素酶干扰、同家族核受体选择性 阳性或主 readout 无剂量依赖。,本地/在线 PubMed 共现层面较干净，适合 novelty review,reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响,P1_priority_manual_review,nuclear_receptor_or_tf_reporter,0.53315145,7,104.341,0.867041,0.8729726899119736,0.9405941367149352,0.3430770108493755,0.7901670000000001,3,RTK/MAPK/PI3K signaling; metabolism/mitochondria; epigenetic/transcription,breast cancer; cervix carcinoma,unreported_in_local_pubmed_audit,False,False,False,first_pass_ready_for_chunk_agent
