system_id,status,bytes
1aqb__1__1.A__1.C,CACHED,113877
2aq8__1__1.A__1.B,CACHED,163050
2aq8__1__3.A__3.B,CACHED,163242
2aqh__1__1.A__1.B,CACHED,163814
2aqh__1__3.A__3.B,CACHED,163977
2aqi__1__1.A__1.B,CACHED,163811
2aqi__1__3.A__3.B,CACHED,163975
2aqk__1__1.A__1.B,CACHED,163729
2aqk__1__3.A__3.B,CACHED,163917
3aq4__1__1.A__1.C_1.D,CACHED,110150
3aq4__2__1.B__1.E_1.F,CACHED,105008
5aqf__1__1.A__1.E,CACHED,240457
5aqf__2__1.C__1.O,CACHED,237888
5aqk__1__1.B__1.I,CACHED,70542
5aqt__1__1.A__1.C,CACHED,233053
5aqv__1__1.A__1.C,CACHED,234471
5aqy__1__1.A__1.B,CACHED,237719
5aqz__1__1.A__1.B,CACHED,239542
6aqs__1__1.A_4.A__1.B_1.C,CACHED,276878
6aqs__1__1.A_4.A__4.B_4.C,CACHED,276956
6aqs__1__2.A_6.A__2.B_2.C,CACHED,275531
6aqs__1__2.A_6.A__6.B_6.C,CACHED,275605
6aqs__1__3.A_5.A__3.B_3.C,CACHED,277097
6aqs__1__3.A_5.A__5.B_5.C,CACHED,277168
4apr__1__1.A__1.B,CACHED,195664
2apc__1__1.A__1.B_1.C_1.D,CACHED,225152
3ap1__1__1.A_1.C__1.E,CACHED,201152
3ap1__1__1.B_1.D__1.F,CACHED,199470
3ap2__1__1.B_1.D__1.F,CACHED,199016
3apv__1__1.A__1.C_1.D,CACHED,113340
3apv__2__1.B__1.E,CACHED,115059
3apw__1__1.A__1.C,CACHED,116770
3apw__2__1.B__1.D,CACHED,117963
5apj__1__1.A__1.C,CACHED,168267
5apk__1__1.A__1.D,CACHED,154730
5apk__1__1.B__1.E,CACHED,160848
6ap7__1__1.A__1.C,CACHED,171400
6aps__1__1.A__1.C_1.D,CACHED,122658
6aps__1__1.B__1.H_1.I,CACHED,117681
7ap3__1__1.B__1.E_1.F,CACHED,266470
2an3__1__1.A__1.C,CACHED,162835
2an3__2__1.B__1.E,CACHED,170358
2an4__1__1.A__1.D,CACHED,162720
2an4__2__1.B__1.F,CACHED,169968
2an5__1__1.A__1.C,CACHED,162825
2an5__2__1.B__1.F,CACHED,169978
3an1__1__1.A__1.G,CACHED,816764
3an1__1__1.B__1.N,CACHED,823131
4anm__1__1.A__1.B,CACHED,216855
5an1__1__1.D_1.E__1.L,CACHED,290295
5an1__1__1.D_1.E__1.M,CACHED,290371
5an1__2__1.B_1.G__1.J,CACHED,288988
5an1__3__1.C_2.F__2.N,CACHED,286961
5an1__4__1.F_2.C__1.N,CACHED,290613
5an1__5__1.A_1.H__1.I,CACHED,287684
5an1__5__1.A_1.H__1.P,CACHED,287765
5anq__1__1.B__1.I_1.J,CACHED,229667
5anq__2__1.A__1.C_1.D,CACHED,231596
7an5__1__1.A__1.C,CACHED,176594
7an5__1__1.B__1.D,CACHED,176252
7an7__1__1.B__1.H,CACHED,175579
7an8__1__1.A__1.C,CACHED,177474
7an8__1__1.B__1.E,CACHED,177071
7anc__1__1.A__1.C,CACHED,218683
7anc__1__1.B__1.D,CACHED,205535
2a6h__1__1.C_1.D__1.M,CACHED,1619165
4a6c__1__1.A_1.B__1.C,CACHED,119909
4a6d__1__1.A__1.D,CACHED,215925
4a6d__1__2.A__2.D,CACHED,216151
4a6l__1__1.A_1.C__1.E,CACHED,301968
4a6l__1__1.A_1.C__1.G,CACHED,301968
4a6l__1__1.B_1.D__1.F,CACHED,300833
4a6l__1__1.B_1.D__1.H,CACHED,300833
4a6s__2__1.C__1.I_1.J,CACHED,73695
4a6x__2__1.B__1.E_1.F,CACHED,138816
5a64__2__1.B__1.J,CACHED,117764
5a6b__1__1.A_1.B__1.G,CACHED,763088
5a6b__2__1.C_1.D__1.K,CACHED,777145
5a6z__1__1.A_1.B__1.E_1.I_1.J,CACHED,128792
