homology_cluster,sequences,split
SEQ:0005091cb3c277123e3a0b90c22eadb48f41111ede450925669dc482ed4974c7,1,train
SEQ:00054e79d2c1f21a1744d2060bc18390be7446bb9a9477d37dabba316f3ebfcb,1,train
SEQ:000b7b3616020dbd156035113176c1598b8c3d55243b9998e22c4bbf8997a5f0,1,test
SEQ:001c5d2b571d4e8910b9409e8aaffc73b1ebe78a6b944bc951a7b21717ea1499,4,validation
SEQ:0027ca265a312088abd02e8ce011f420752c659eb948ff8d3d46e13f489b74a8,2,train
SEQ:002e9e4cc7eb3aa3f79b93053cf19ce2c274ea4810c21c48ec1bf0b6c1d78ab8,5,train
SEQ:003154cd9bd4ccf278e5635ff4c6c6e27fbf0eab2a1b4cc13688ea796944e091,1,train
SEQ:003585ae42ea54791d09a7a9734850eb61388b4eed27e38a1bd7028f6c4f71f9,1,train
SEQ:0038fb29a50caa56d3a27f41789cdc50dfe18eec649c8abdce227423556f86af,1,train
SEQ:003bf485a4e2001764b0df5c36fb4f03bf1290502acdf49032b4508d0aca6a60,1,train
SEQ:00440103503779ef140dd4789b6d6a788a99e511deffa6b27687532b5eb1a060,2,train
SEQ:005d3d027b78ea2cd89b091eed5a8b8e5f97d9ebcea50ca66cc24a8d52863e65,1,validation
SEQ:0076040428b7f909caf2ddfe8f2c4f199dce3c4cdf29c33dbe4f6c4f7ad23c25,1,train
SEQ:0099b6e08f42d6264928d693b92b30597d3d5e2685b25e0d0f4d7ae20d02e157,1,train
SEQ:00a1006aac49a82a489a24a27c306b8286be10dceae9c7dc9fa2faf81c053272,1,test
SEQ:00b165beb3c376a838ef024d1ce9985ca3699d5f89eabf212995a053409e6cbe,1,train
SEQ:00b3adba0581624558f8c1410841533e1f37b074b71346bdc9f8f6611418c0f2,1,train
SEQ:00d2910960a27d392ef0d18ae6a73b1116de6de29922677f781a8254d866b2c8,1,train
SEQ:00db91b4578ef5aae6a919976e58dcdc9cd9ca77a912f999f0aa62c9cacee3c0,9,validation
SEQ:00e3a1cd1fb2b42d09e9e6432f0620e8f1ba4c381bdbf4dac3fb1e08f86f0267,1,train
SEQ:00faf52e877f8ec4d0da6ca32313f09350fb35484546287f7d68e8d95efc02b9,2,train
SEQ:0102b1e7762d2426809fe6059468a02ccd7748b830993e31e41b74981c33539f,2,train
SEQ:011b29df0ce28bf5ed25ab922e3b490924ed2bb990c8e2c6cfbbb7ae893b21db,150,train
SEQ:0136d98f553bd40c5dd5aee99f8c1d9e34e952fcfb31184123f977165783b0bc,1,train
SEQ:01434e2f6a549c741be3e8e61ca90558317d7f92e54d57e51700addebc4baa36,1,train
SEQ:014dd24ea6ea11c23768eee762593c05a59edfc52fdbad8834d05e9c628ba1e5,1,train
SEQ:0154d06ce124d4d82dd3ac35f58cf01f7978e6d58257694b24a1bb94bf5d7989,1,train
SEQ:015f4bd91eb1ae0731e7fa44552636508f59862c9269876fbbc107774dfe54dd,9,train
SEQ:016c59e3a8d1b9dce396039892230a953410ecdd19a0ac7a0cd83e0c45537eba,2,validation
SEQ:016dedc48fb624f3e8268e06db1eb26813422f4212d70c0a44ccc9e2310ae4b4,6,train
SEQ:018ab740d40a2138cc6c2c79a0111b639b4a85952c177248bbd4c114f5e90542,1,train
SEQ:019db8a168c528c5ccdee2b125ff0e61c44ec9b9db4df8a4d69d47ba91536d4e,1,train
SEQ:01a94f11705e76d6747b6e29529607e32c7dac0df85b78165c8fbc95731e31e5,2,validation
SEQ:01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063,20,train
SEQ:01c3425bac9e75b75889e9c96b3d0357e86287618213ffd6575154d3d288927b,1,train
SEQ:01c65d6312eb4222f860a135481e45fa6f044b543e33f083fb57331972ddc6c8,1,train
SEQ:01cf1106ce4491402aa8769cad230800b3476fee16a1019a20181772b30d3d54,4,test
SEQ:01e988a935055b3c57d7a073517b26d9bed04f57214bf0e7f9b60e40711d4458,3,train
SEQ:020884f6dce1bb3d3be8a7d80c3dab87c1e0cf31a525b6be8aaf45e118e6d238,2,validation
SEQ:021c190f132b75dcb59970b3d23c97db468e2ce2ae16a8eca553b65dd038e4d4,13,train
SEQ:022c267c8428b62788b29f05279a1243080b944a7d58045a0c103edd1af36027,1,train
SEQ:022c5e46aa4d58f82ea0b1dcb834398f4f1195826519611b0447b8b5e3536ef3,3,train
SEQ:024435b6a912aaecfa2992585f7d822f4f49a8a1338b3bc6a7b36bd8991acd0a,1,train
SEQ:0245deffad73dcd5cf0c8f7c09aef20860fbe11c1fb839049bce6dd95819195c,9,train
SEQ:025f53bb7b61d7ff93a932e7af3847f13013f8f3a49ab3b2b7f983b2b2c72aee,3,test
SEQ:0262c98d50b56f5a3caf0eeed1550c2543dba87524fecd3b287816f82be04774,2,train
SEQ:0270f0f41ef901b7594254734aff43140744a99f85c6d4532effe0fd40df37fb,2,train
SEQ:028f4d4e6566b0a43bf03df24d0833f95e4772db5434a3841a945be32735ed1b,1,train
SEQ:0297752cbbb160a1a2fee4880b98710b630abae0d51abd20970073bd8159c2af,47,train
SEQ:02a15e338a8f1eaa56576353dbfc9d8eb1387fdb8fa8906a7f3f8808f8613433,6,test
SEQ:02a18a268e6ed3f1c53d8d25f7074d527f990b156c70b092fdffb707cca508e6,1,train
SEQ:02a7fa9f4745cdff0335db445a7b4b1a7829e9bb3f6a0771bea04ed6d49fc3cb,1,train
SEQ:02b2e855e36a9df3ad0daeb0f72e8bb0c64d3dfdca57503c02ef185f20547e44,1,test
SEQ:02bcc1a0649414450dce0f794b34a68310118bc61d995d539d51a4aac5e40906,1,train
SEQ:02cd9fe282994502c12ea0f7782e619810cc9f9d00e83fbfefbdca32937a73fe,1,train
SEQ:02fe2db45f174585615c79dc5b753b50ac7ebad2ddc6f0caec400c7a7c9537e1,3,train
SEQ:02ff564638b6d6c0cc1bdbb27b4b4592dbadec6288679f4e3430bc9b804f0db0,2,train
