target_id,target_name,organism,target_type,component_id,uniprot_id,gene,protein_length,protein_sha256,small_molecule_moa,chembl_gpcr,ot_class_contains_gpcr,is_gpcr,assay_lane,evidence_class,af_exact_sequence_model,structure_ready_strict,legacy_384_member,local_exact_af_file_exists
CHEMBL1075094,Nuclear factor erythroid 2-related factor 2,Homo sapiens,SINGLE PROTEIN,3947,Q16236,NFE2L2,605,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1075113,Toll-like receptor 3,Homo sapiens,SINGLE PROTEIN,4003,O15455,TLR3,904,a599e95c1f774b8bb8b499064316aced28a3e1f4d3b8b85bfb1bfc5325ba75d5,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1075126,Pyruvate kinase PKLR,Homo sapiens,SINGLE PROTEIN,4065,P30613,PKLR,574,4e4075bd902760c9a35050c66dbe273ad1a4cf0dcf8ac68d3858465b0f757cf7,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1075153,Tumor necrosis factor receptor superfamily member 10B,Homo sapiens,SINGLE PROTEIN,4184,O14763,TNFRSF10B,440,3606e0fe132ce531f97cb3dbca3255615f44166ef54c29118ca2b7ad5155e05e,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1075319,Transient receptor potential cation channel subfamily M member 8,Homo sapiens,SINGLE PROTEIN,1656,Q7Z2W7,TRPM8,1104,b752efca239d6c441dadf5c0a7bb5e4a9500b78108fb7bafa7604d2ee58898cc,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1163124,Mitogen-activated protein kinase kinase kinase 13,Homo sapiens,SINGLE PROTEIN,4789,O43283,MAP3K13,966,4b73868ce025017dbd7dc7c6e3d898657ae4faf8dd559c654aec1cb4c86901db,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1169596,Serine/threonine-protein kinase A-Raf,Homo sapiens,SINGLE PROTEIN,5125,P10398,ARAF,606,39ad43cf31421ee66dcea16ed6c270c50e9b75b9984e56a6806f208b39ce4fe8,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1169600,Interleukin-5,Homo sapiens,SINGLE PROTEIN,5130,P05113,IL5,134,b536d3a02bc7e2f29dab0bfcbc26b7f040787562db36559fd93ca839c513102e,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1250358,Tumor necrosis factor receptor superfamily member 5,Homo sapiens,SINGLE PROTEIN,5181,P25942,CD40,277,bdaae0d2976942880a6d26f22bd2956752a017fc8350f857553e3f8039215f5c,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1250360,Tumor necrosis factor receptor superfamily member 3,Homo sapiens,SINGLE PROTEIN,5183,P36941,LTBR,435,609e4fdd1e48c4b8fda9060e916cac8fbaef62d0854b7988b0ba31cbf4d2902a,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1250375,NADPH oxidase 4,Homo sapiens,SINGLE PROTEIN,5233,Q9NPH5,NOX4,578,45ea878aa8f308e6bac27bbe1c4e2dfa0945622116e9bc1f92526df3e6a9bc72,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1250417,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Homo sapiens,SINGLE PROTEIN,5341,Q9Y3Q4,HCN4,1203,9c3188b073b9e98d1564288ad72c38251639f58ffa45500df86cfcc08355c99f,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1255163,Protein-serine O-palmitoleoyltransferase porcupine,Homo sapiens,SINGLE PROTEIN,5401,Q9H237,PORCN,461,b2c990ba31b043f2e3029746535efd35e18656597c027a86068758bb928430d4,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1275223,Heat shock cognate 71 kDa protein,Homo sapiens,SINGLE PROTEIN,5172,P11142,HSPA8,646,fb7792982e9928f0036d5d090309c0bab5a98e8285d14fe380913b5ff2fffb8c,False,False,False,False,NONCANONICAL_REVIEW,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,True,False,True
CHEMBL1287628,NADPH oxidase 1,Homo sapiens,SINGLE PROTEIN,4835,Q9Y5S8,NOX1,564,87dbdcd6bb922f6c07c087bedb6707d8d54078cc3912c82ea227236f19974349,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1293224,Microtubule-associated protein tau,Homo sapiens,SINGLE PROTEIN,5140,P10636,MAPT,758,9ad5ef9ba35def920a684e5d92e22b0a2e05baefcec3c9f173e2773ca8cc0646,False,False,False,False,NONCANONICAL_REVIEW,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1293232,Survival motor neuron protein,Homo sapiens,SINGLE PROTEIN,5147,Q16637,SMN1,294,7c46d381ed1556456f96faaf5db2eeb523ff96957d0839542aafaa89266ac479,False,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,OT_DIRECT_EXTENSION_NON_GPCR,True,False,False,True
CHEMBL1293266,Nucleotide-binding oligomerization domain-containing protein 2,Homo sapiens,SINGLE PROTEIN,4969,Q9HC29,NOD2,1040,ef161768e7c976580d006d192e7b5660c7c33afb39c7005fc11aac8ef2a9a2c9,True,False,False,False,NONCANONICAL_REVIEW,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1615381,Menin,Homo sapiens,SINGLE PROTEIN,3034,O00255,MEN1,610,7810003b5817178cf1f0238a337d954f732e3387da5080f93df679003054f5a6,True,False,False,False,NONCANONICAL_REVIEW,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1628478,Chloride channel protein 2,Homo sapiens,SINGLE PROTEIN,4825,P51788,CLCN2,898,7756423b3cb4a3ce6ad2f3dba705c7a6aa3804e8306021e09b6040c2b2f4a110,True,False,False,False,ION_CHANNEL_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1641347,Solute carrier family 22 member 6,Homo sapiens,SINGLE PROTEIN,5272,Q4U2R8,SLC22A6,563,f4530393413bef6fed4161594ee08a4d063a4dcbc1b9ce61a747fd299e1ee5de,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1641348,Organic anion transporter 3,Homo sapiens,SINGLE PROTEIN,5273,Q8TCC7,SLC22A8,542,2d18ac9566390f8e8a70ccbb95841c3aa5c4e4c5fd088d59fd7e1ac28d693c44,True,False,False,False,TRANSPORTER_MEMBRANE_FUNCTIONAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1641353,DNA-directed RNA polymerase II subunit RPB1,Homo sapiens,SINGLE PROTEIN,5242,P24928,POLR2A,1970,dbd82d02d7916602a7d14fb2d0202917b489aaff347393d7bc526bb025176d83,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1649052,C-C motif chemokine 2,Homo sapiens,SINGLE PROTEIN,5099,P13500,CCL2,99,3812ea62049d89f00803ff2754ba5bec5cfce74fac5689379e293376b1bf27d3,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1649058,Beta-nerve growth factor,Homo sapiens,SINGLE PROTEIN,5105,P01138,NGF,241,18790819ce711a8f61a2f25fdd0492030951e4c8d1ac71e40a3d279313bb186a,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1697671,Placenta growth factor,Homo sapiens,SINGLE PROTEIN,5246,P49763,PGF,221,996f97c63c398c52b917c21cec8c89132d120a0a692b9aa2e403e718b8fbc9ab,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1697674,Triggering receptor expressed on myeloid cells 1,Homo sapiens,SINGLE PROTEIN,5249,Q9NP99,TREM1,234,bf8a7860c621096e38bc5e941f5ff53631a3967ab7fcf10a4e160b59a97aadfa,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,SINGLE PROTEIN,5336,P51449,RORC,518,262c7bcde1c365985448d0e69a77135df1680783066e7f72dfb907bead316982,False,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,OT_DIRECT_EXTENSION_NON_GPCR,True,True,False,True
CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3",Homo sapiens,SINGLE PROTEIN,5431,Q96P20,NLRP3,1036,138b95b30ab8f0f5159c8e47139e072be23cc2dda5f74980956ee5764897d1d7,True,False,False,False,NONCANONICAL_REVIEW,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1741305,Interleukin-18,Homo sapiens,SINGLE PROTEIN,4858,Q14116,IL18,193,06c23e2ed27e57dd2fd2b42d7251c3096047666d5ab51d70ceb14335ba388e10,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1741309,Osteopontin,Homo sapiens,SINGLE PROTEIN,4862,P10451,SPP1,314,7b95e3678367f3bff34ee42c83e8137ad9888f41e2af7334f6e4dea8c72455e3,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1744522,Endothelial PAS domain-containing protein 1,Homo sapiens,SINGLE PROTEIN,4911,Q99814,EPAS1,870,bc397cc8eb78693a226a23c89a09eb3c0054deef0ef8c9cae74b11a491fad1df,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1744525,Nicotinamide phosphoribosyltransferase,Homo sapiens,SINGLE PROTEIN,4914,P43490,NAMPT,491,3e723e9b939c852d117a2a4862213f89c492ff4b6056a25176e677a8fd066a27,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1778,Interleukin-2 receptor subunit alpha,Homo sapiens,SINGLE PROTEIN,68,P01589,IL2RA,272,290d65d7c27ea9d8968019162a0c555118035dd9deea2b16caaf419b78296792,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1781,DNA topoisomerase 1,Homo sapiens,SINGLE PROTEIN,72,P11387,TOP1,765,fa554cc87a32d58ec860310b47bd8ba0682f5a1f4dee892685283f4289b12e2e,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1781870,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",Homo sapiens,SINGLE PROTEIN,4994,Q92835,INPP5D,1189,6162b17907607d9b41ec56d5672c104c2596dc26c9f5638e327985ddd21a0499,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1782,Farnesyl pyrophosphate synthase,Homo sapiens,SINGLE PROTEIN,73,P14324,FDPS,419,265d3e283924e8ac4ea8bc436c687772d97f9703fd677b466a605ac7f1a560d7,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1783,"Vascular endothelial growth factor A, long form",Homo sapiens,SINGLE PROTEIN,74,P15692,VEGFA,395,e2e37cb8956473db663196cc55b7336f68505552863364417d19cdb9aa1e0b78,True,False,False,False,EXTRACELLULAR_SPECIAL,SM_MOA_NON_GPCR,True,False,False,True
CHEMBL1786,Inositol monophosphatase 1,Homo sapiens,SINGLE PROTEIN,77,P29218,IMPA1,277,8dfa317b0c2b7bd7a20857e127c506e04e100a0b3cd0045d906de2ee961ac21f,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1795,Atrial natriuretic peptide receptor 2,Homo sapiens,SINGLE PROTEIN,86,P20594,NPR2,1047,fe3da7595d12a872ec6c59fd35c3753af901eb7fa06e5e3b2b618554ce4d737d,False,False,False,False,ENZYME_BIOCHEMICAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,True,False,True
CHEMBL1795108,Elongation factor 2,Homo sapiens,SINGLE PROTEIN,5667,P13639,EEF2,858,d793bf62344849552d82b76b57e79bb9bc24f70b1c6c730742c99de9a3f5f340,False,False,False,False,NONCANONICAL_REVIEW,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,True,False,True
CHEMBL1795116,Protein arginine N-methyltransferase 5,Homo sapiens,SINGLE PROTEIN,5675,O14744,PRMT5,637,426a120e9105502534446b6b2f93d80918127f6d0a708f46a005683d0db7c88e,True,False,False,False,NUCLEAR_EPIGENETIC_DOMAIN,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1795122,Elongation factor 1-alpha 2,Homo sapiens,SINGLE PROTEIN,5705,Q05639,EEF1A2,463,716f4233dbf07bef50a59a252fdb91a5f1bf153bbc208994fb1fe38786066cbf,True,False,False,False,NONCANONICAL_REVIEW,SM_MOA_NON_GPCR,True,True,False,True
CHEMBL1795129,Interleukin-6,Homo sapiens,SINGLE PROTEIN,5726,P05231,IL6,212,ce9be1b6049442dbd48e2100bcef53a760817c8223f6bb6b07a625132a04eff8,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1795178,Transforming growth factor beta-1 proprotein,Homo sapiens,SINGLE PROTEIN,5546,P01137,TGFB1,390,f878d83757db48cc3120917224e2369d0cdff3b9c6f56ef2558b6ed0eec8cdee,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1795197,Guanylyl cyclase C,Homo sapiens,SINGLE PROTEIN,5538,P25092,GUCY2C,1073,65e0c45e5759303997c3b2d84199fc621c9d3899348c9b6fd17686195676db85,False,False,False,False,ENZYME_BIOCHEMICAL,OT_DIRECT_EXTENSION_NON_GPCR,True,True,False,True
CHEMBL1796,Gastric triacylglycerol lipase,Homo sapiens,SINGLE PROTEIN,87,P07098,LIPF,398,231ffacb7d51ebda0d40836241fb888cbf3effc88f2e93013f7a7c612a42f6bd,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,False,True
CHEMBL1801,Plasminogen,Homo sapiens,SINGLE PROTEIN,93,P00747,PLG,810,082ef6cfa8a9d5c17782cc036623a4c0ece915fc6a420e54678ff55dab70b98e,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1803,Integrin alpha-L,Homo sapiens,SINGLE PROTEIN,97,P20701,ITGAL,1170,4dcc7bcfcead8f33eee44af53d05e2a520b1109d93ea0450cfc3cbfbb59ecb5f,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,True,False,True
CHEMBL1806,DNA topoisomerase 2-alpha,Homo sapiens,SINGLE PROTEIN,100,P11388,TOP2A,1531,761da99e636939921184b716e7ba5e440765a070c13385f413f8172c5649afbc,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1808,Angiotensin-converting enzyme,Homo sapiens,SINGLE PROTEIN,102,P12821,ACE,1306,9b90c234c007ae25d011f573a0deccfd96ca908b193a043413120f802384f402,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1812,Pancreatic triacylglycerol lipase,Homo sapiens,SINGLE PROTEIN,108,P16233,PNLIP,465,8e144ac7eadb8b0b53e0e195deec103c4626a452c2e9d6b3d76b1590d2ef1112,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,False,True,True
CHEMBL1817,Erythropoietin receptor,Homo sapiens,SINGLE PROTEIN,114,P19235,EPOR,508,836335c4f694ce5071ab10c75ade586523c1b7f3838c885157e120d468fda261,False,False,False,False,NON_GPCR_MEMBRANE_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
CHEMBL1822,Inosine-5'-monophosphate dehydrogenase 1,Homo sapiens,SINGLE PROTEIN,118,P20839,IMPDH1,514,57bf41a20daca07077287ad2d41a3724e4370a8a0d0136404bf44a32b2c14b91,True,False,False,False,ENZYME_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,SINGLE PROTEIN,120,P04626,ERBB2,1255,a5f256fc653515d110f6dd48ad55b8ea21bf6d45af33b7f5c182c6c31455b636,True,False,False,False,KINASE_BIOCHEMICAL,SM_MOA_NON_GPCR,True,True,True,True
CHEMBL1825,Tumor necrosis factor,Homo sapiens,SINGLE PROTEIN,122,P01375,TNF,233,8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5,False,False,False,False,EXTRACELLULAR_SPECIAL,NO_DIRECT_SM_EVIDENCE_NON_GPCR,True,False,False,True
